time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,3.2247909558796e-08,-8.133608e-05,1.327,30799088.452616,4.23,30799088.452616,12501658.782092,0.40591014771607,4.4297752090441e-05,44.297752090441,6036370075088.5,22.092732595292,1.6317702248531e-07,8.058591045304e-07,3.0186759990556e-07,4.6504462239087e-07,2.6281956327564e-08,8.3214106085796e-07,0.00026161410547901,0.00077948296763696,0,0,0,3.2247909558796e-08,3.2247909558796e-08,2.8307820140453e-11,1.662438687655e-08,-3.2247909558796e-05,1.6624410977653e-05,-30799088.452616,283.07820140453,166243.8687655,3.7651046322722,3.3257777681921,1.951604752795,0.35596998689182,0.34882913306354,0,30.799088452616,30799088.452616,30.077742693164,1.9551166374547,8.2865053021811e-05,3.0888680424867e-06,5.390036360233e-11,0.012399116686818,3.2340218161398e-06,8.3670214001131e-05,-3.2247909558796e-05,3.2247909558796e-08,0.0039214044199012,0.9349385115064,9.349385115064e-14,2290288.358995,0.40591014771607,1.0596560257858e-06,1.0596560257858,5.390036360233e-11,3022499.7991287,2290288.358995,12501658.782092,8.2257400915727e-05,33.373472699529,3.2247909558796e-08,3.2247909558796e-08,2.9177841707332e-08,0.029177841707332,0,22499.991139715,2999999.807989,5.1481134041445e-11,-0.017502712636883,1.6624410977653e-05,0.64,0.15413952581657,166244.10977653,31.956651887548,31951604.752795,33.355969986892,31.602775619731,31.58626077232,0,0,-31602775.619731,-31586260.77232,-31956651.887548,-31951604.752795,0.0019608959947736,9.2132091572686e-07,65441.908948191,-65441.908948191
1.5,9.7715482182067e-08,-8.133608e-05,1.327,30413726.997648,4.23,30413726.997648,12359541.52872,0.40638039885318,4.4232284517818e-05,44.232284517818,5736541621200.7,22.115860952918,1.2361402937488e-07,8.3211625956301e-07,3.2298144371649e-07,4.4659547309137e-07,2.2723783865477e-08,8.5484004342848e-07,0.0003090052400787,0.00078244083437109,0,0,0,9.7715482182067e-08,9.7715482182067e-08,1.6027356721286e-11,1.6857518968041e-08,-9.7715482182067e-05,1.6857526587077e-05,-30413726.997648,160.27356721286,168575.18968041,3.7875906679813,3.5714642829616,1.9605907641931,0.36564211612198,0.36570839542976,0,30.413726997648,30413726.997648,30.068910682498,1.9159164809722,0.00016714922648706,2.3059397319978e-06,4.1960516777507e-11,0.024947419087762,2.5176310066504e-06,0.00016877333737559,-9.7715482182067e-05,9.7715482182067e-08,0.0039214044199012,0.94056300177476,9.4056300177476e-14,2684789.1979474,0.40638039885318,1.0626719577361e-06,1.0626719577361,4.1960516777507e-11,3044999.8396471,2684789.1979474,12359541.52872,8.2281252844245e-05,33.383149903967,9.7715482182067e-08,9.7715482182067e-08,3.2293711712531e-08,0.032293711712531,0,44999.986229167,2999999.8534179,3.843232886663e-11,-0.01750778784519,1.6857526587077e-05,0.64,0.15832768062757,168575.26587077,31.905404780779,31960590.764193,33.365642116122,31.594882368763,31.486532960556,0,0,-31594882.368763,-31486532.960556,-31905404.780779,-31960590.764193,0.0019608959947736,9.4517284424522e-07,65460.884939615,-65460.884939615
2.25,1.1691065376546e-07,-8.1893916886792e-05,1.327,30304382.822738,4.23,30304382.822738,12319184.175672,0.40651494775391,4.4213089346235e-05,44.213089346235,5653678552627.4,22.122477070012,1.1754015910499e-07,6.5838798165493e-07,3.4279593997619e-07,4.6033609908118e-07,1.034928066999e-08,6.6873726232492e-07,0.00022740122707767,0.00062895079721203,0,0,0,1.1691065376546e-07,1.1691065376546e-07,5.2615731817193e-12,2.3182834574581e-08,-0.00011691065376546,2.3182835171664e-05,-30304382.822738,52.615731817193,231828.34574581,3.9204592007948,3.7805739404049,2.0799592813719,0.51252704942242,0.51640852413439,0,30.304382822738,30304382.822738,30.094381887418,1.8595076961428,0.00025134078174657,1.6924908575602e-06,3.2818997533038e-11,0.037487137531222,1.9691398519823e-06,0.0002537829426165,-0.00011691065376546,1.1691065376546e-07,0.0039214044199012,0.94222207479163,9.4222207479163e-14,2834357.765055,0.40651494775391,1.0635428512854e-06,1.0635428512854,3.2818997533038e-11,3067499.8657048,2834357.765055,12319184.175672,8.2643478041567e-05,33.530111911025,1.1691065376546e-07,1.1691065376546e-07,3.3211102738712e-08,0.033211102738712,0,67499.981533747,2999999.884171,2.8208180959337e-11,-0.017584861602167,2.3182835171664e-05,0.64,0.22193072246325,231828.35171664,31.996884667001,32079959.281372,33.512527049422,31.563550757238,31.416450389047,0,0,-31563550.757238,-31416450.389047,-31996884.667001,-32079959.281372,0.0019608959947736,7.4956115477459e-07,65749.062151511,-65749.062151511
3,1.1738818740665e-07,-8.356742754717e-05,1.327,30301676.57181,4.23,30301676.57181,12318185.211563,0.40651828219151,4.4212611812593e-05,44.212611812593,5651636177349.3,22.122641027461,1.2819084580772e-07,1.0587270899864e-07,3.8470961924678e-07,5.129004650545e-07,-2.274195296135e-08,8.3130756037291e-08,-5.8080174502777e-05,0.00015578387846416,0,0,0,1.1738818740665e-07,1.1738818740665e-07,-2.6794938362146e-12,4.1881735901833e-08,-0.00011738818740665,4.1881735987547e-05,-30301676.57181,-26.794938362146,418817.35901833,4.282349451606,4.1965574577107,2.4283495096854,0.94340363892347,0.94675100145556,0,30.30167657181,30301676.57181,30.190850994897,1.7331700738527,0.00033508989093697,9.4651318644434e-07,2.1516453462395e-11,0.049985042374392,1.2909872077437e-06,0.00033834580274669,-0.00011738818740665,1.1738818740665e-07,0.0039214044199012,0.9422633880587,9.422633880587e-14,2947013.2467088,0.40651828219151,1.0635098908208e-06,1.0635098908208,2.1516453462395e-11,3089999.9032009,2947013.2467088,12318185.211563,8.3706040108216e-05,33.961214592706,1.1738818740665e-07,1.1738818740665e-07,3.3233940266968e-08,0.033233940266968,0,89999.976734132,2999999.9264668,1.5775219774072e-11,-0.017810953782075,4.1881735987547e-05,0.64,0.4085057586652,418817.35987547,32.340657779856,32428349.509685,33.943403638923,31.48159850823,31.329451723446,0,0,-31481598.50823,-31329451.723446,-32340657.779856,-32428349.509685,0.0019608959947736,1.3861256104654e-07,66594.409672483,-66594.409672483
3.75,1.1096954058169e-07,-8.5240938207547e-05,1.327,30338044.112866,4.23,30338044.112866,12331609.70844,0.40647347042667,4.4219030459418e-05,44.219030459418,5679077705199.3,22.120437593668,1.4192729923745e-07,-4.5045025427846e-07,4.2484465288701e-07,5.6677195212445e-07,-5.5579646736638e-08,-5.060299010151e-07,-0.00034813777376938,0.00031913771372759,0,0,0,1.1096954058169e-07,1.1096954058169e-07,-7.1725148636817e-12,6.054711728997e-08,-0.00011096954058169,6.0547117714804e-05,-30338044.112866,-71.725148636817,605471.1728997,4.6435259057833,4.5875297187233,2.776025945714,1.3730910370595,1.3749368930351,0,30.338044112866,30338044.112866,30.287022811855,1.4861089475254,0.00041844547817191,3.8772076646105e-07,1.3293342587596e-11,0.062444480171462,7.9760055525573e-07,0.00042251131725257,-0.00011096954058169,1.1096954058169e-07,0.0039214044199012,0.94170806386293,9.4170806386293e-14,3019172.9550156,0.40647347042667,1.0631569398674e-06,1.0631569398674,1.3293342587596e-11,3112499.9334488,3019172.9550156,12331609.70844,8.4765669571561e-05,34.391127458574,1.1096954058169e-07,1.1096954058169e-07,3.2926967011247e-08,0.032926967011247,0,112499.97207692,2999999.9613719,6.4620127743509e-12,-0.018036421514331,6.0547117714804e-05,0.64,0.59456585990111,605471.17714804,32.693885296665,32776025.945714,34.373091037059,31.401089052679,31.259107333895,0,0,-31401089.052679,-31259107.333895,-32693885.296665,-32776025.945714,0.0019608959947736,-4.7526863598598e-07,67437.424089274,-67437.424089274
4.5,1.0175617087229e-07,-8.6914448867925e-05,1.327,30390558.634677,4.23,30390558.634677,12350991.782261,0.40640886050476,4.4228243829128e-05,44.228243829128,5718892562019.4,22.1172605448,1.5630009799519e-07,-1.0090750425859e-06,4.6440540983032e-07,6.2070550782551e-07,-8.8298027668305e-08,-1.0973730702542e-06,-0.00063989737677078,0.00079573457220666,0,0,0,1.0175617087229e-07,1.0175617087229e-07,-8.7970937013568e-12,7.9194519229817e-08,-0.00010175617087229,7.9194519718417e-05,-30390558.634677,-87.970937013568,791945.19229817,5.0043582379704,4.9679547132545,3.1233582623499,1.8021718058324,1.801723036103,0,30.390558634677,30390558.634677,30.383042975848,0.82089624022109,0.00050145039138303,7.1960259674499e-08,6.6963287801558e-12,0.074870018589131,4.0177972680935e-07,0.00050632275039908,-0.00010175617087229,1.0175617087229e-07,0.0039214044199012,0.94091182438051,9.4091182438051e-14,3074327.4181742,0.40640886050476,1.0626738502788e-06,1.0626738502788,6.6963287801558e-12,3134999.9593674,3074327.4181742,12350991.782261,8.5823803058174e-05,34.820433376762,1.0175617087229e-07,1.0175617087229e-07,3.2486667617847e-08,0.032486667617847,0,134999.96751516,2999999.9918523,-1.1993376612417e-12,-0.018261570930058,7.9194519718417e-05,0.64,0.78036328291747,791945.19718417,33.052914586638,33123358.26235,34.802171805832,31.321635226247,31.198256027467,0,0,-31321635.226247,-31198256.027467,-33052914.586638,-33123358.26235,0.0019608959947736,-1.0906458097503e-06,68279.248344797,-68279.248344797
5.25,9.1184923575028e-08,-8.8587959528302e-05,1.327,30451269.267381,4.23,30451269.267381,12373394.751148,0.40633430977068,4.4238815076425e-05,44.238815076425,5765199970621.4,22.113594500153,1.7050681848335e-07,-1.5693313422391e-06,5.0381495176882e-07,6.7432177025216e-07,-1.2095196240661e-07,-1.6902833046457e-06,-0.0009323289074446,0.0012738274000925,0,0,0,9.1184923575028e-08,9.1184923575028e-08,-8.0867094006098e-12,9.7829930217048e-08,-9.1184923575028e-05,9.7829930551275e-05,-30451269.267381,-80.867094006098,978299.30217048,5.3649797649434,5.3428921937999,3.4704797755609,2.2308684875377,2.2274501715703,0,30.451269267381,30451269.267381,30.478967121096,6.0938070424183,0.00058412314195187,4.7006868180473e-07,1.1044109295942e-12,0.087263661549221,6.626465577565e-08,0.00058979879343421,-9.1184923575028e-05,9.1184923575028e-08,0.0039214044199012,0.93999950526911,9.3999950526911e-14,3120687.3637316,0.40633430977068,1.0621272283344e-06,1.0621272283344,1.1044109295942e-12,3157499.9823042,3120687.3637316,12373394.751148,8.6880989367897e-05,35.249355006343,9.1184923575028e-08,9.1184923575028e-08,3.1981959454769e-08,0.031981959454769,0,157499.9630312,3000000.019273,-7.8344780300789e-12,-0.018486518805645,9.7829930551275e-05,0.64,0.96599439135491,978299.30551275,33.415925194496,33470479.775561,35.230868487538,31.243029603991,31.143542556057,0,0,-31243029.603991,-31143542.556057,-33415925.194496,-33470479.775561,0.0019608959947736,-1.7069701604045e-06,69120.319050328,-69120.319050328
6,7.9861281860478e-08,-9.0261470188679e-05,1.327,30516849.338448,4.23,30516849.338448,12397589.643061,0.4062539510767,4.425013871814e-05,44.25013871814,5815558397583.7,22.109642634121,1.8426203551291e-07,-2.1308521997104e-06,5.4324207024934e-07,7.2750410576225e-07,-1.5356769315873e-07,-2.2844198928691e-06,-0.0012250017035624,0.0017532411189027,0,0,0,7.9861281860478e-08,7.9861281860478e-08,-5.4909638391654e-12,1.1645596901771e-07,-7.9861281860478e-05,0.00011645596914716,-30516849.338448,-54.909638391654,1164559.6901771,5.7254484071346,5.7144830237685,3.8174484053167,2.6592862657805,2.6523051864168,0,30.516849338448,30516849.338448,30.574821542723,4.6244280947892,0.0006664728951515,8.25597776923e-07,3.7964508024037e-12,0.099626377641946,2.2778704814422e-07,0.0006729487006857,-7.9861281860478e-05,7.9861281860478e-08,0.0039214044199012,0.93902376584546,9.3902376584546e-14,3161724.3640863,0.4062539510767,1.0615454318764e-06,1.0615454318764,-3.7964508024037e-12,3180000.0030299,3161724.3640863,12397589.643061,8.7937487888482e-05,35.677997586115,7.9861281860478e-08,7.9861281860478e-08,3.1441906457246e-08,0.031441906457246,0,179999.95861515,3000000.0444147,-1.3759962948717e-11,-0.018711320334575,0.00011645596914716,0.64,1.1515047310505,1164559.6914716,33.781884389849,33817448.405317,35.65928626578,31.1651432189,31.093159847019,0,0,-31165143.2189,-31093159.847019,-33781884.389849,-33817448.405317,0.0019608959947736,-2.3239823001969e-06,69960.842568204,-69960.842568204
6.75,6.8086628653972e-08,-9.1934980849057e-05,1.327,30585652.33198,4.23,30585652.33198,12422968.065704,0.40616983382112,4.4261913371346e-05,44.261913371346,5868769470241.4,22.105505692419,1.9745913756902e-07,-2.6934069373826e-06,5.8276273311722e-07,7.8022187068624e-07,-1.8615965139641e-07,-2.879566588779e-06,-0.0015177080980354,0.002233829261718,0,0,0,6.8086628653972e-08,6.8086628653972e-08,-1.3774495641788e-12,1.3507396035498e-07,-6.8086628653972e-05,0.000135073960362,-30585652.33198,-13.774495641789,1350739.6035498,6.0857943506343,6.083800679113,4.1642943374141,3.0874842179259,3.07640676399,0,30.58565233198,30585652.33198,30.670621009578,3.3402761474276,0.0007485056928946,1.14944157192e-06,8.1859397460666e-12,0.1119587738013,4.91156384764e-07,0.00075577857277267,-6.8086628653972e-05,6.8086628653972e-08,0.0039214044199012,0.93801083124965,9.3801083124965e-14,3199177.236165,0.40616983382112,1.0609427508495e-06,1.0609427508495,-8.1859397460666e-12,3202500.0220337,3199177.236165,12422968.065704,8.8993444307508e-05,36.106420224442,6.8086628653972e-08,6.8086628653972e-08,3.0880982368373e-08,0.030880982368373,0,202499.95426013,3000000.0677736,-1.9157359532e-11,-0.018936006516256,0.000135073960362,0.64,1.3369198832537,1350739.60362,34.150147688006,34164294.337414,36.087484217926,31.087887573424,31.046025535838,0,0,-31087887.573424,-31046025.535838,-34150147.688006,-34164294.337414,0.0019608959947736,-2.9415365415486e-06,70800.93480378,-70800.93480378
