time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,inj_saveiin_sum_legacy_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,prod_saveiin_sum_legacy_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,-8.133608e-05,1.327,33160395.798121,4.23,33160395.798121,15794655.170291,0.47631338451985,4.4634518881321e-05,44.634518881321,8159742183420.4,25.469083395568,3.6493604066923e-07,6.8742120248946e-07,2.0272396249707e-07,5.6766000316631e-07,3.8330668197167e-08,7.2575187068663e-07,2.7666719268662e-05,0.00077779224479054,0,0,0,-3.0451888132134e-07,-3.0451888132134e-07,7.4675595853977e-11,1.5520903346781e-08,0.00030451888132134,1.5521082988784e-05,-33160395.798121,746.75595853977,155209.03346781,3.7249994960419,1.8427439349571,1.9159997390201,0.30636422783792,0.2739957526179,0,33.160395798121,33160395.798121,30.069091459232,1.9941972888359,9.4834814906426e-05,0.043596156261013,7.3084347795898e-07,0.011563381061097,0.043850608677539,9.5756280465901e-05,0.00030451888132134,-3.0451888132134e-07,0.0039214044199012,1.3078814610968,1.3078814610968e-13,-122093.00677167,0.47631338451985,1.2688027838141e-06,1.2688027838141,7.3084347795898e-07,9.240323052188e-11,3014999.5950364,-122093.00677167,15794655.170291,8.2135070765714e-05,33.323840911066,0,-3.0451888132134e-07,2.2260845998369e-07,0.22260845998369,0,14999.994617791,2999999.6004187,7.2660260435022e-07,9.0812159289058e-11,-0.017476683227628,1.5521082988784e-05,0.64,0.13265960205922,155210.82988784,32.23722662458,31915999.73902,33.306364227838,31.642003986402,32.139666807776,0,0,-31642003.986402,-32139666.807776,-32237226.62458,-31915999.73902,0.0019608959947736,7.9899076571415e-07,65344.58617303,-65344.58617303
2,4.9195079049906e-10,-8.133608e-05,1.327,30993496.972103,4.23,30993496.972103,14845048.788011,0.4789733183163,4.432950804921e-05,44.32950804921,6192427903331.1,25.593177192782,1.7545967741499e-07,7.8641994771784e-07,2.9623073326523e-07,4.7169041068022e-07,2.6198270410764e-08,8.126182181286e-07,0.00024125743587771,0.00076878949147397,0,0,0,4.9195079049906e-10,4.9195079049906e-10,6.0734050584573e-11,1.634438519437e-08,-4.9195079049906e-07,1.6344498034716e-05,-30993496.972103,607.34050584573,163443.8519437,3.7857016860672,3.2004286930949,1.9497018209668,0.34852398777131,0.33276777174542,0,30.993496972103,30993496.972103,30.057131213708,1.9506014385126,0.00053874364857077,0.014431324349278,2.5302094310346e-07,0.059498046595931,0.015181256586208,0.00054397836873166,-4.9195079049906e-07,4.9195079049906e-10,0.0039214044199012,1.6823882372206,1.6823882372206e-13,2084544.7868801,0.4789733183163,1.4261949690664e-06,1.4261949690664,2.5302094310346e-07,6.0467430132774e-11,3059999.7751673,2084544.7868801,14845048.788011,8.2239038729434e-05,33.366022793306,6.1785897555682e-09,4.9195079049906e-10,3.9084634568894e-07,0.39084634568894,0,59999.983865041,2999999.7913023,2.4052207248797e-07,5.6337558360949e-11,-0.017498805534636,1.6344498034716e-05,0.64,0.1509153136191,163444.98034716,32.023880360858,31949701.820967,33.348523987771,31.616934049221,31.69880476309,0,0,-31616934.049221,-31698804.76309,-32023880.360858,-31949701.820967,0.0019608959947736,9.0295872943395e-07,65427.300456917,-65427.300456917
3.8,8.1780730137626e-08,-8.5352505584906e-05,1.327,30505677.353064,4.23,30505677.353064,14630482.124663,0.47959868709915,4.4248219269862e-05,44.248219269862,5806945232444.7,25.622315028783,1.4551501719581e-07,-5.1627851470016e-07,4.2334546670291e-07,5.6886048389872e-07,-5.6154036578842e-08,-5.72432551279e-07,-0.00038415895887378,0.00037435280056053,0,0,0,8.1780730137626e-08,8.1780730137626e-08,3.1521224254686e-11,6.1487589014356e-08,-8.1780730137626e-05,6.1487597093933e-05,-30505677.353064,315.21224254686,614875.89014356,4.6619803654939,4.5019005557286,2.7935804266198,1.3935003156705,1.3795653495272,0,30.505677353064,30505677.353064,30.291375166864,1.6747868286169,0.0010983331730022,0.0026959004987436,6.6586473051284e-08,0.11913656060418,0.003995188383077,0.0011090051629539,-8.1780730137626e-05,8.1780730137626e-08,0.0039214044199012,1.7730254205433,1.7730254205433e-13,2847200.2151813,0.47959868709915,1.4600856819138e-06,1.4600856819138,6.6586473051284e-08,2.4477008464486e-11,3113999.8981235,2847200.2151813,14630482.124663,8.4815999793194e-05,34.411547436095,8.1780730137626e-08,8.1780730137626e-08,4.2855708846488e-07,0.42855708846488,0,113999.97214054,2999999.925983,4.493167497906e-08,1.7647546693954e-11,-0.018047120424221,6.1487597093933e-05,0.64,0.60340333677615,614875.97093933,32.789092336341,32793580.42662,34.393500315671,31.414015077093,31.365414258344,0,0,-31414015.077093,-31365414.258344,-32789092.336341,-32793580.42662,0.0019608959947736,-5.365057917115e-07,67477.465561703,-67477.465561703
5.96,7.1966305588065e-08,-9.0172216286792e-05,1.327,30562901.210734,4.23,30562901.210734,14655667.624512,0.4795247848097,4.4258033694412e-05,44.258033694412,5851124037816.6,25.61887245225,1.7335865620219e-07,-2.1208746003299e-06,5.4345337235671e-07,7.168120285589e-07,-1.5112396712552e-07,-2.2719985674554e-06,-0.001210570300402,0.0017500519540258,0,0,0,7.1966305588065e-08,7.1966305588065e-08,2.0253938482402e-11,1.1524079004107e-07,-7.1966305588065e-05,0.00011524079182092,-30562901.210734,202.53938482402,1152407.9004107,5.702700303496,5.657194912949,3.7954203164695,2.6314182783018,2.6110791208595,0,30.562901210734,30562901.210734,30.568454570843,0.66828125021291,0.0017023885656804,0.0011987157666214,1.1975556344476e-08,0.18572473375106,0.00071853338066855,0.0017189298794761,-7.1966305588065e-05,7.1966305588065e-08,0.0039214044199012,1.7622883823631,1.7622883823631e-13,3102957.6607992,0.4795247848097,1.4543389972506e-06,1.4543389972506,1.1975556344476e-08,2.9988490903184e-12,3178799.9783774,3102957.6607992,14655667.624512,8.7868764112272e-05,35.650114975631,7.1966305588065e-08,7.1966305588065e-08,4.241430846957e-07,0.4241430846957,0,178799.95928906,3000000.0190884,-1.9978596110357e-08,-6.7892960472367e-12,-0.018696697329197,0.00011524079182092,0.64,1.139437538496,1152407.9182092,33.805875085614,33795420.31647,35.631418278302,31.18434119561,31.155143688862,0,0,-31184341.19561,-31155143.688862,-33805875.085614,-33795420.31647,0.0019608959947736,-2.3034521745206e-06,69906.167668932,-69906.167668932
8.552,3.144593160169e-08,-9.5955869129057e-05,1.327,30803838.245051,4.23,30803838.245051,14761664.657282,0.4792151780483,4.4298554068398e-05,44.298554068398,6040082502668.8,25.604447946106,2.1566302890683e-07,-4.0668734442677e-06,6.810852834167e-07,8.9674831232353e-07,-2.638888146772e-07,-4.3307622589449e-06,-0.0022202063838243,0.0034141842022587,0,0,0,3.144593160169e-08,3.144593160169e-08,2.9959323838825e-11,1.7955412306523e-07,-3.144593160169e-05,0.00017955412556465,-30803838.245051,299.59323838825,1795541.2306523,6.9478249215447,6.9315965211286,4.9938888962818,4.1108590906185,4.0748361411469,0,30.803838245051,30803838.245051,30.899434702837,12.308927505242,0.0023454019246982,0.0028405020517411,4.1862237458334e-09,0.25970373235246,0.00025117342475,0.0023681910986832,-3.144593160169e-05,3.144593160169e-08,0.0039214044199012,1.7173704559488,1.7173704559488e-13,3229512.7080779,0.4792151780483,1.4347559407039e-06,1.4347559407039,-4.1862237458334e-09,-1.2129035011723e-11,3256560.0421048,3229512.7080779,14761664.657282,9.1517135185805e-05,37.130332087585,3.144593160169e-08,3.144593160169e-08,4.0552919120384e-07,0.40552919120384,0,256559.94457393,3000000.0975309,-4.7341700862351e-08,-2.5308929273584e-11,-0.019472996966471,0.00017955412556465,0.64,1.7800542019269,1795541.2556465,35.077437205769,34993888.896282,37.110859090618,30.919052755135,30.988231291903,0,0,-30919052.755135,-30988231.291903,-35077437.205769,-34993888.896282,0.0019608959947736,-4.4387339432512e-06,72808.719475158,-72808.719475158
11.6624,0,-0.00010289625253977,1.327,31137710.862467,4.23,31137710.862467,14908428.414156,0.47879025313323,4.4352624205355e-05,44.352624205355,6309946626220.8,25.584645121085,2.5871327320825e-07,-6.4152078819604e-06,8.477319042655e-07,1.1064451774738e-06,-3.9890764670663e-07,-6.8141155286671e-06,-0.0034316562078748,0.0054263763597318,0,0,0,-2.2624205354631e-08,-2.2624205354631e-08,5.7725226575408e-11,2.5660359041868e-07,2.2624205354631e-05,0.00025660359691158,-31137710.862467,577.25226575408,2566035.9041868,8.4403025868834,8.4295561867615,6.4303793274938,5.8831618397953,5.8205858530531,0,31.137710862467,31137710.862467,31.295854324738,7.5833038253075,0.0030212670229084,0.003885230912686,9.8360717146063e-09,0.34150119957457,0.00059016430287638,0.0030506232620737,2.2624205354631e-05,-2.2624205354631e-08,0.0039214044199012,1.6559902872857,1.6559902872857e-13,3331961.4321129,0.47879025313323,1.4077598060277e-06,1.4077598060277,-9.8360717146063e-09,-2.4563887919787e-11,3349872.0989827,3331961.4321129,14908428.414156,9.5887717658459e-05,38.90356480839,0,-2.2624205354631e-08,3.7966984526999e-07,0.37966984526999,0,349871.92754482,3000000.1714379,-6.4753848544766e-08,-4.1661435072074e-11,-0.02040296859483,0.00025660359691158,0.64,2.547483803919,2566035.9691158,36.633467235025,36430379.327494,38.883161839795,30.609793474441,30.830373067425,0,0,-30609793.474441,-30830373.067425,-36633467.235025,-36430379.327494,0.0019608959947736,-7.0085348813143e-06,76285.844415186,-76285.844415186
15.39488,0,-0.00011122471263263,1.327,31549383.787134,4.23,31549383.787134,15089203.150772,0.47827274121158,4.4416132484415e-05,44.416132484415,6655847534952.4,25.560518582432,2.9718930767153e-07,-9.2439451468159e-06,1.0517645960662e-06,1.3489539037377e-06,-5.6095357424732e-07,-9.8048987210632e-06,-0.0048793460635846,0.0078568966744967,0,0,0,-8.6132484415274e-08,-8.6132484415274e-08,9.9509775459114e-11,3.489391131214e-07,8.6132484415274e-05,0.0003489391273104,-31549383.787134,995.09775459114,3489391.131214,10.230268997847,10.217564947731,8.1531610661523,8.0076734096426,7.9052239441964,0,31.549383787134,31549383.787134,31.770994953457,7.3495700833595,0.0037109363827623,0.004755543698768,1.2482587105204e-08,0.43059111306313,0.00074895522631225,0.0037469938166646,8.6132484415274e-05,-8.6132484415274e-08,0.0039214044199012,1.5817659978908,1.5817659978908e-13,3440673.135964,0.47827274121158,1.3743496452979e-06,1.3743496452979,-1.2482587105204e-08,-3.5777694273487e-11,3461846.5528249,3440673.135964,15089203.150772,0.00010112686375494,41.029191162653,0,-8.6132484415274e-08,3.4770996212938e-07,0.34770996212938,0,461846.3077421,3000000.2450828,-7.9259061646133e-08,-5.7426514123565e-11,-0.021517753010286,0.0003489391273104,0.64,3.4674242989798,3489391.273104,38.522008349458,38153161.066152,41.007673409643,30.247937121956,30.666372764752,0,0,-30247937.121956,-30666372.764752,-38522008.349458,-38153161.066152,0.0019608959947736,-1.0097848877697e-05,80453.976619645,-80453.976619645
19.873856,0,-0.00012121886474407,1.327,32043776.685947,4.23,32043776.685947,15306030.560535,0.4776603833665,4.4488074254573e-05,44.488074254573,7091044355125.7,25.531957717415,3.269900772226e-07,-1.2648423790584e-05,1.3019875934574e-06,1.62897767068e-06,-7.5559357428682e-07,-1.340401736487e-05,-0.006607393608952,0.010790361281865,0,0,0,-1.5807425457254e-07,-1.5807425457254e-07,1.5122530812153e-10,4.5960294931714e-07,0.00015807425457254,0.00045960297419632,-32043776.685947,1512.2530812153,4596029.4931714,12.377731479433,12.361017826726,10.220001948272,10.554938337166,10.396029395968,0,32.043776685947,32043776.685947,32.340626481327,7.404021012133,0.0043813830945999,0.0055470700381082,1.4436424728564e-08,0.52529190214241,0.00086618548371386,0.0044239549457553,0.00015807425457254,-1.5807425457254e-07,0.0039214044199012,1.494761990115,1.494761990115e-13,3568359.7974245,0.4776603833665,1.3340472027589e-06,1.3340472027589,-1.4436424728564e-08,-4.6439973218184e-11,3596215.8852685,3568359.7974245,15306030.560535,0.00010740853964277,43.577792703864,0,-1.5807425457254e-07,3.0927397597139e-07,0.30927397597139,0,596215.56460811,3000000.3206604,-9.2451167301803e-08,-7.3413123359094e-11,-0.022854366698027,0.00045960297419632,0.64,4.5704223676819,4596029.7419632,40.805797963935,40220001.948272,43.554938337166,29.823972552303,30.487582948087,0,0,-29823972.552303,-30487582.948087,-40805797.963935,-40220001.948272,0.0019608959947736,-1.3810325101298e-05,85451.519174079,-85451.519174079
24.873856,0,-0.00013237560247992,1.327,32590973.535568,4.23,32590973.535568,15545676.178791,0.47699390076861,4.4562589447055e-05,44.562589447055,7598807332215,25.500856928292,3.4308253691113e-07,-1.6457513863769e-05,1.5870940412387e-06,1.9301765781498e-06,-9.731458900066e-07,-1.7430659753775e-05,-0.0085258751244441,0.014081083820703,0,0,0,-2.3258944705534e-07,-2.3258944705534e-07,2.0533938328743e-10,5.8300117243347e-07,0.00023258944705534,0.00058300120859486,-32590973.535568,2053.3938328743,5830011.7243347,14.775209030935,14.755895791181,12.527479470479,13.396537865493,13.166396517017,0,32.590973535568,32590973.535568,32.976026301905,7.2547915818383,0.0049507097214412,0.0062223108869301,1.6580117833176e-08,0.61637048506469,0.00099480706999054,0.0049988134532592,0.00023258944705534,-2.3258944705534e-07,0.0039214044199012,1.4013679963573,1.4013679963573e-13,3714027.2011691,0.47699390076861,1.2893464089366e-06,1.2893464089366,-1.6580117833176e-08,-5.6340703924531e-11,3746215.9340925,3714027.2011691,15545676.178791,0.00011441605858872,46.420883290615,0,-2.3258944705534e-07,2.6674379850548e-07,0.26674379850548,0,746215.53924927,3000000.3948433,-1.0370518144883e-07,-8.9171321976925e-11,-0.024345425121382,0.00058300120859486,0.64,5.8008710571387,5830012.0859486,43.369140834864,42527479.470479,46.396537865493,29.361082953463,30.300356568073,0,0,-29361082.953463,-30300356.568073,-43369140.834864,-42527479.470479,0.0019608959947736,-1.7959543891197e-05,91026.524118414,-91026.524118414
