time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.4937243325731e-07,-8.133608e-05,4.3,30123046.33127,15.6,30123046.33127,20412207.385256,0.6377909916405,4.4180627566743e-05,44.180627566743,5518386966302,32.529363779307,2.3530790482114e-07,7.189827434194e-07,3.4965063205932e-07,5.8495853688047e-07,1.065225390581e-07,8.2550528247749e-07,0.00014276481999857,0.00074291601246505,1200000,0,0,1.4937243325731e-07,1.4937243325731e-07,2.5057405427544e-12,1.8596096977977e-08,-0.00014937243325731,1.8596097146796e-05,-30123046.33127,25.057405427544,185960.96977977,3.8067486545091,3.7868765086546,1.9977486545091,0.41117595227491,0.41427177913024,0,30.12304633127,30123046.33127,30.089142947088,1.9549999463761,0.0054281105639242,3.3343154977206e-06,5.8190500609856e-11,0.17866943757038,3.4914300365913e-06,0.0054286479899716,-0.00014937243325731,1.4937243325731e-07,0.0040438255428083,20.208480545709,2.0208480545709e-12,2981879.7569093,0.6377909916405,4.9245747341875e-06,4.9245747341875,5.8190500609856e-11,3015000,2981879.7569093,20412207.385256,8.2400447959868e-05,33.431509746278,1.4937243325731e-07,1.4937243325731e-07,5.1982191782903e-08,0.051982191782903,0,15000,3000000,5.557192496201e-11,-0.020333794002596,1.8596097146796e-05,1,0.17434849175602,185960.97146795,31.912841985969,31997748.654509,33.411175952275,31.583476875379,31.399814070302,0,0,-31583476.875379,-31399814.070302,-31912841.985969,-31997748.654509,0.0019607316392595,1.0643679598676e-06,65550.21890774,-65550.21890774
2,1.5688998820635e-07,-8.133608e-05,4.3,30081681.954614,15.6,30081681.954614,20392702.137391,0.63801960377478,4.4173110011794e-05,44.173110011794,5487897644351.1,32.538673772066,2.4668848272668e-07,7.3371906127704e-07,3.5021135589905e-07,5.9689983862573e-07,1.0586238728353e-07,8.3958144856057e-07,0.00013995545094815,0.00076132210012658,1200000,0,0,1.5688998820635e-07,1.5688998820635e-07,-3.6426900873945e-12,1.8683537730374e-08,-0.00015688998820635,1.8683538085478e-05,-30081681.954614,-36.426900873945,186835.37730375,3.8403479704107,3.8220684541017,2.0043479704107,0.41455105004241,0.42975876821772,0,30.081681954614,30081681.954614,30.067436231308,1.8733718500614,0.021719225336874,1.9160677871076e-06,3.6564566531673e-11,0.7148185010749,2.1938739919004e-06,0.021721375712643,-0.00015688998820635,1.5688998820635e-07,0.0040438255428083,20.212460464867,2.0212460464867e-12,3029534.139485,0.63801960377478,4.9250875018116e-06,4.9250875018116,3.6564566531673e-11,3060000,3029534.139485,20392702.137391,8.2408771808403e-05,33.434886898105,1.5688998820635e-07,1.5688998820635e-07,5.2343044796899e-08,0.052343044796899,0,60000,3000000,3.1934463118461e-11,-0.020335848062672,1.8683538085478e-05,1,0.17577961437406,186835.38085478,31.866121449719,32004347.970411,33.414551050042,31.574589202193,31.32839389352,0,0,-31574589.202193,-31328393.89352,-31866121.449719,-32004347.970411,0.0019607316392595,1.0726918084026e-06,65556.840596178,-65556.840596178
3.8,7.6633661537966e-08,-9.0080446716981e-05,4.3,30535612.527889,15.6,30535612.527889,20606311.986025,0.63553052374195,4.4253366338462e-05,44.253366338462,5830009812549.1,32.437204024429,2.7150843353296e-07,-1.8997131542071e-06,5.4450417918455e-07,8.1601261271751e-07,-3.3246023623555e-07,-2.2321733904426e-06,-0.0011584658394906,0.0015298966620267,1200000,0,0,7.6633661537966e-08,7.6633661537966e-08,2.478560330746e-12,1.0749585009093e-07,-7.6633661537966e-05,0.00010749585011951,-30535612.527889,24.78560330746,1074958.5009093,5.5613331474643,5.5301323771337,3.6929331474643,2.5018496414648,2.4989204385202,0,30.535612527889,30535612.527889,30.531035660119,3.0971452404235,0.041134636362116,8.5041587971296e-07,6.7585199737305e-12,1.3553088065229,4.0551119842383e-07,0.041138709017743,-7.6633661537966e-05,7.6633661537966e-08,0.0040438255428083,20.170100321998,2.0170100321998e-12,3061998.7161157,0.63553052374195,4.9198348846882e-06,4.9198348846882,-6.7585199737305e-12,3114000,3061998.7161157,20606311.986025,8.7556580410078e-05,35.523455803977,7.6633661537966e-08,7.6633661537966e-08,4.8503866925282e-08,0.048503866925282,0,114000,3000000,-1.4173597995216e-11,-0.021606162512093,0.00010749585011951,1,1.0608444126569,1074958.5011951,33.670129230628,33692933.147464,35.501849641465,31.194012708944,31.129178564532,0,0,-31194012.708944,-31129178.564532,-33670129.230628,-33692933.147464,0.0019607316392595,-2.523866306903e-06,69651.963730694,-69651.963730694
5.96,0,-0.00010057368677736,4.3,31076068.706664,15.6,31076068.706664,20859398.504932,0.63262192988979,4.4342840647291e-05,44.342840647291,6259320866527.6,32.318342251222,2.8054162004056e-07,-5.0794417998067e-06,7.8616096248054e-07,1.0667025825211e-06,-8.5767142258606e-07,-5.9371132223927e-06,-0.0027079294795879,0.0043065706231034,1200000,0,0,-1.2840647291006e-08,-1.2840647291006e-08,1.7547456235003e-11,2.140053250717e-07,1.2840647291006e-05,0.00021400532579111,-31076068.706664,175.47456235003,2140053.250717,7.6264904819953,7.5780031014613,5.7192104819953,5.0040808301725,4.9710097351853,0,31.076068706664,31076068.706664,31.086760999242,2.2782671981362,0.064294670794502,2.8910052934313e-06,3.7694326841402e-11,2.1209371407091,2.2616596104841e-06,0.064301036477438,1.2840647291006e-05,-1.2840647291006e-08,0.0040438255428083,20.124955660278,2.0124955660278e-12,3097987.69911,0.63262192988979,4.9141915188801e-06,4.9141915188801,-3.7694326841402e-11,3178800,3097987.69911,20859398.504932,9.3727718209694e-05,38.027209832037,0,-1.2840647291006e-08,4.4259532126521e-08,0.044259532126521,0,178800,3000000,-4.8183421557189e-11,-0.023129001864589,0.00021400532579111,1,2.1218506105203,2140053.2579111,35.88023270318,35719210.481995,38.004080830173,30.74820074681,30.949793407282,0,0,-30748200.74681,-30949793.407282,-35880232.70318,-35719210.481995,0.0019607316392595,-6.8459685676644e-06,74561.153470434,-74561.153470434
8.552,0,-0.00011316557484981,4.3,31719417.31278,15.6,31719417.31278,21158943.904761,0.6292345075936,4.4441442934297e-05,44.441442934297,6802808045911.4,32.179518384227,2.7323557748711e-07,-8.9137473132573e-06,1.0851101714583e-06,1.3583457489455e-06,-1.4872798153188e-06,-1.0401027128576e-05,-0.0045604476706739,0.0076636718280764,1200000,0,0,-1.1144293429676e-07,-1.1144293429676e-07,3.7012018897524e-11,3.4171309760198e-07,0.00011144293429676,0.00034171309960642,-31719417.31278,370.12018897524,3417130.9760197,10.104624869122,10.034955408244,8.1506888691222,8.0045038058511,7.9265831454149,0,31.71941731278,31719417.31278,31.753101519251,2.2159545625736,0.091987194694385,4.7060561348165e-06,6.4504276169335e-11,3.0375990808135,3.8702565701601e-06,0.091996302157078,0.00011144293429676,-1.1144293429676e-07,0.0040438255428083,20.087049747663,2.0087049747663e-12,3140444.2318693,0.6292345075936,4.9094073269715e-06,4.9094073269715,-6.4504276169335e-11,3256560,3140444.2318693,21158943.904761,0.0001011275235209,41.029458842898,0,-1.1144293429676e-07,3.9629275689287e-08,0.039629275689287,0,256560,3000000,-7.8434268913608e-11,-0.024955037047057,0.00034171309960642,1,3.3941021066144,3417130.9960642,38.563419589799,38150688.869122,41.004503805851,30.224105723707,30.768862090603,0,0,-30224105.723707,-30768862.090603,-38563419.589799,-38150688.869122,0.0019607316392595,-1.2038051328915e-05,80447.758094961,-80447.758094961
11.6624,0,-0.00012827584053675,4.3,32486392.764456,15.6,32486392.764456,21513656.977678,0.62529786415124,4.4548841827712e-05,44.548841827712,7499040681743.3,32.017652594727,2.4643773284962e-07,-1.3534580972344e-05,1.4539486341653e-06,1.7003863670149e-06,-2.2422034919456e-06,-1.5776784464289e-05,-0.0067772343591283,0.011718135862609,1200000,0,0,-2.1884182771198e-07,-2.1884182771198e-07,5.4360577535925e-11,4.9481009490664e-07,0.00021884182771198,0.00049481009789271,-32486392.764456,543.60577535925,4948100.9490664,13.078198549782,12.982950403955,11.068275349782,11.602685906824,11.460982106682,0,32.486392764456,32486392.764456,32.552163563975,2.1993952215114,0.12504835462364,6.4297721261024e-06,8.9347420138408e-11,4.1339840643121,5.3608452083045e-06,0.12506073540369,0.00021884182771198,-2.1884182771198e-07,0.0040438255428083,20.046301591663,2.0046301591663e-12,3191125.0902886,0.62529786415124,4.9042491098394e-06,4.9042491098394,-8.9347420138408e-11,3349872,3191125.0902886,21513656.977678,0.00011000155469495,44.629830770833,0,-2.1884182771198e-07,3.464695961804e-08,0.03464695961804,0,349872,3000000,-1.0716286876837e-10,-0.027144864009649,0.00049481009789271,1,4.9198178467914,4948100.9789271,41.810036905083,41068275.349782,44.602685906824,29.607293243101,30.577434682537,0,0,-29607293.243101,-30577434.682537,-41810036.905083,-41068275.349782,0.0019607316392595,-1.8274285841809e-05,87507.121247146,-87507.121247146
15.39488,0,-0.00014640815936109,4.3,33402186.523521,15.6,33402186.523521,21933875.131772,0.62073488468023,4.4664230723111e-05,44.664230723111,8403090387013.9,31.829314808272,1.9500384918484e-07,-1.9101491661197e-05,1.9082886008383e-06,2.1032924500231e-06,-3.1474989362566e-06,-2.2248990597454e-05,-0.0094311411278687,0.016612001300572,1200000,0,0,-3.3423072311067e-07,-3.3423072311067e-07,6.3032185178888e-11,6.7832243137406e-07,0.00033423072311067,0.00067832243430265,-33402186.523521,630.32185178888,6783224.3137406,16.646010814644,16.519888569164,14.568902974644,15.917889652553,15.687563851436,0,33.402186523521,33402186.523521,33.510423439863,2.196731575306,0.16451898250263,8.114742954618e-06,1.1301257416536e-10,5.4453080893993,6.7807544499218e-06,0.16453527118825,0.00033423072311067,-3.3423072311067e-07,0.0040438255428083,20.003203043407,2.0003203043407e-12,3251642.6575327,0.62073488468023,4.898792842226e-06,4.898792842226,-1.1301257416536e-10,3461846.4,3251642.6575327,21933875.131772,0.00012064394340338,48.947660717619,0,-3.3423072311067e-07,2.937174457395e-08,0.02937174457395,0,461846.4,3000000,-1.352457159103e-10,-0.0297710650662,0.00067832243430265,1,6.7495680073379,6783224.3430265,45.7320069496,44568902.974644,48.917889652553,28.881339123208,30.3700723648,0,0,-28881339.123208,-30370072.3648,-45732006.9496,-44568902.974644,0.0019607316392595,-2.5764215957707e-05,95973.227036662,-95973.227036662
19.873856,0,-0.00016816694195029,4.3,34496966.775433,15.6,34496966.775433,22431622.879696,0.61546487474055,4.4786190182686e-05,44.786190182686,9594591315579,31.610833294877,1.1169366630189e-07,-2.5806893295519e-05,2.4672785851724e-06,2.5789722514743e-06,-4.233196874609e-06,-3.0040090170128e-05,-0.012609119620049,0.022517067292361,1200000,0,0,-4.5619018268612e-07,-4.5619018268612e-07,5.7768289003371e-11,8.9827818739471e-07,0.00045619018268612,0.00089827818925225,-34496966.775433,577.6828900337,8982781.8739471,20.926441202608,20.76311837879,18.768711794608,21.093012903955,20.741270421449,0,34.496966775433,34496966.775433,34.659601672715,2.2008328896381,0.21165053076323,9.788876747567e-06,1.3586232289319e-10,7.013849915658,8.1517393735917e-06,0.21167148584638,0.00045619018268612,-4.5619018268612e-07,0.0040438255428083,19.958492005021,1.9958492005021e-12,3324010.973637,0.61546487474055,4.8931468161169e-06,4.8931468161169,-1.3586232289319e-10,3596215.68,3324010.973637,22431622.879696,0.00013340711207453,54.12593351088,0,-4.5619018268612e-07,2.3893152521641e-08,0.023893152521641,0,596215.68,3000000,-1.6314794579278e-10,-0.032920606925757,0.00089827818925225,1,8.9439447177008,8982781.8925225,50.465352777329,48768711.794608,54.093012903955,28.027441373159,30.142480736052,0,0,-28027441.373159,-30142480.736052,-50465352.777329,-48768711.794608,0.0019607316392595,-3.475982987575e-05,106126.43033871,-106126.43033871
24.873856,0,-0.00019245684949746,4.3,35715852.914255,15.6,35715852.914255,22980104.077549,0.60981843917944,4.4904477731297e-05,44.904477731297,11073730094773,31.375602011284,-2.9206519222779e-09,-3.3318010832136e-05,3.1055779929233e-06,3.102657341001e-06,-5.4445594521961e-06,-3.8762570284333e-05,-0.016150337719163,0.02914200483662,1200000,0,0,-5.7447773129719e-07,-5.7447773129719e-07,3.762021096292e-11,1.1435425703465e-06,0.00057447773129719,0.0011435425709654,-35715852.914255,376.2021096292,11435425.703465,25.703471339434,25.498497204252,23.455741931434,26.866796523818,26.362922569414,0,35.715852914255,35715852.914255,35.941673898807,2.2085726498962,0.26403352795615,1.1369764950571e-05,1.5679329043711e-10,8.7597707711388,9.4075974262267e-06,0.26405966937196,0.00057447773129719,-5.7447773129719e-07,0.0040438255428083,19.916041400625,1.9916041400625e-12,3404592.1213626,0.60981843917944,4.8878120001957e-06,4.8878120001957,-1.5679329043711e-10,3746215.68,3404592.1213626,22980104.077549,0.00014764672930346,59.903231013,0,-5.7447773129719e-07,1.8685856884253e-08,0.018685856884253,0,746215.68,3000000,-1.8949608250952e-10,-0.036434489182206,0.0011435425709654,1,11.392167820923,11435425.709654,55.774868746983,53455741.931434,59.866796523818,27.09281936202,29.907254732518,0,0,-27092819.36202,-29907254.732518,-55774868.746983,-53455741.931434,0.0019607316392595,-4.4810120193994e-05,117454.16033985,-117454.16033985
