time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,3.4918992907727e-08,-8.133608e-05,2.296,30782786.249548,12.1,30782786.249548,38784283.465523,1.2599341605291,4.4295081571489e-05,44.295081571489,6023315986663.3,51.56124057516,3.172751060028e-07,7.6548924311237e-07,2.0967863279919e-07,5.2695373880199e-07,3.0209888563249e-08,7.9569913167562e-07,7.9238140140521e-05,0.00082483852441366,0,0,0,3.4918992907727e-08,3.4918992907727e-08,1.303749518973e-11,1.6039639846612e-08,-3.4918992907727e-05,1.6039645145243e-05,-30782786.249548,130.3749518973,160396.39846612,3.7636737224391,3.3294057059814,1.9501737224391,0.3549028505479,0.34652324182019,0,0,0,30.06697184755,1.9392145573816,9.3200240614844e-08,5.0142832719107e-06,8.8980081503599e-11,0.00011175474603861,5.338804890216e-06,9.3200240614844e-08,-3.4918992907727e-05,3.4918992907727e-08,0.0041763198155696,0.0084267111447915,8.4267111447915e-16,2298719.9725705,1.2599341605291,1.0057479336338e-07,0.10057479336338,8.8980081503599e-11,3022500,2298719.9725705,38784283.465523,8.2254769261988e-05,33.372404984974,3.4918992907727e-08,3.4918992907727e-08,0,0,0,22500,3000000,8.3571387865178e-11,-0.017502134425882,1.6039645145243e-05,1,0.14711389885555,160396.45145243,31.967980137998,31950173.722439,33.354902850548,31.603650480619,31.602589281362,0,0,-31603650.480619,-31602589.281362,-31967980.137998,-31950173.722439,0.0019608959947736,9.1868926198803e-07,65439.815306798,-65439.815306798
1.5,3.6163814081375e-08,-8.133608e-05,2.296,30775294.940757,12.1,30775294.940757,38776622.37485,1.2599919279483,4.4293836750331e-05,44.293836750331,6017384636967.9,51.562519704202,3.1626769037593e-07,7.6647451143989e-07,2.1209287358189e-07,5.2836056395782e-07,2.9591841134848e-08,7.9606635257474e-07,8.059019080476e-05,0.00082523551172305,0,0,0,3.6163814081375e-08,3.6163814081375e-08,1.1488030604182e-11,1.6037708301208e-08,-3.6163814081375e-05,1.6037712415725e-05,-30775294.940757,114.88030604182,160377.08301208,3.7792793844909,3.3361499822488,1.9522793844909,0.35501318434589,0.34876300690318,0,0,0,30.055746165511,1.9087953055966,1.8651540865331e-07,4.6794632072933e-06,8.5818063731846e-11,0.00022359804658665,5.1490838239108e-06,1.8651540865331e-07,-3.6163814081375e-05,3.6163814081375e-08,0.0041763198155696,0.0084300498095821,8.4300498095821e-16,2306450.9962631,1.2599919279483,1.0059545930989e-07,0.10059545930989,8.5818063731846e-11,3045000,2306450.9962631,38776622.37485,8.2255041395358e-05,33.372515394924,3.6163814081375e-08,3.6163814081375e-08,0,0,0,45000,3000000,7.7991053454888e-11,-0.017502210578563,1.6037712415725e-05,1,0.14715963428758,160377.12415725,31.96753730238,31952279.384491,33.355013184346,31.603516377588,31.601145135484,0,0,-31603516.377588,-31601145.135484,-31967537.30238,-31952279.384491,0.0019608959947736,9.1896139535753e-07,65440.031773427,-65440.031773427
2.25,4.6776974310139e-08,-8.4280823018868e-05,2.296,30711698.820735,12.1,30711698.820735,38711572.619999,1.2604829745872,4.4283223590238e-05,44.283223590238,5967203503474,51.573390158466,3.8086999605526e-07,-1.8868012760108e-07,2.6459179303314e-07,6.454617890884e-07,-2.6887997183235e-08,-2.1556812478431e-07,-0.0004248682005807,1.2212967780633e-05,0,0,0,4.6776974310139e-08,4.6776974310139e-08,1.3129856442753e-11,4.7532251116938e-08,-4.6776974310139e-05,4.7532252930371e-05,-30711698.820735,131.29856442753,475322.51116938,4.4051692702933,4.088172724241,2.5646692702933,1.1137492592305,1.1012046998687,0,0,0,30.211724288611,1.8143460120412,2.8120005349777e-07,2.8163110015233e-06,5.7639524229265e-11,0.00033653055350846,3.4583714537559e-06,2.8120005349777e-07,-4.6776974310139e-05,4.6776974310139e-08,0.0041763198155696,0.0084585393949261,8.4585393949261e-16,2539172.423246,1.2604829745872,1.0076619335383e-07,0.10076619335383,5.7639524229265e-11,3067500,2539172.423246,38711572.619999,8.4126120471309e-05,34.131649597619,4.6776974310139e-08,4.6776974310139e-08,0,0,0,67500,3000000,4.6938516692055e-11,-0.017900338388998,4.7532252930371e-05,1,0.4616699911537,475322.52930371,32.582487229407,32564669.270293,34.11374925923,31.463464570425,31.461132253546,0,0,-31463464.570425,-31461132.253546,-32582487.229407,-32564669.270293,0.0019608959947736,-1.5470254755903e-07,66928.614990998,-66928.614990998
3,7.7855002912379e-08,-9.3115052075472e-05,2.296,30528479.296605,12.1,30528479.296605,38524030.838319,1.2619046891542,4.4252145562032e-05,44.252145562032,5824493286897.6,51.604833860468,5.7348195784318e-07,-3.0552227923721e-06,4.1982730482176e-07,9.9330926266493e-07,-1.9555546994257e-07,-3.2507782623146e-06,-0.0019406947332196,0.0024283681391945,0,0,0,7.7855002912379e-08,7.7855002912379e-08,2.1610181741605e-11,1.4201722342104e-07,-7.7855002912379e-05,0.00014201722506521,-30528479.296605,216.10181741605,1420172.2342104,6.2533939446147,6.3369113168229,4.3993939446147,3.3898681637336,3.3558912945813,0,0,0,30.702138971436,2.6049230878633,3.8051067041412e-07,2.2992568735664e-06,2.3877124195273e-11,0.00045314754508272,1.4326274517164e-06,3.8051067041412e-07,-7.7855002912379e-05,7.7855002912379e-08,0.0041763198155696,0.0085422400473809,8.5422400473809e-16,3229195.6203469,1.2619046891542,1.0126338030939e-07,0.10126338030939,-2.3877124195273e-11,3090000,3229195.6203469,38524030.838319,8.9739137428971e-05,36.408962837682,7.7855002912379e-08,7.7855002912379e-08,0,0,0,90000,3000000,-3.8320947892773e-11,-0.019094673948388,0.00014201722506521,1,1.4051640368716,1420172.2506521,34.428465178698,34399393.944615,36.389868163734,31.043502650033,31.043425278701,0,0,-31043502.650033,-31043425.278701,-34428465.178698,-34399393.944615,0.0019608959947736,-3.3759146465011e-06,71394.189404283,-71394.189404283
3.75,1.1022085020459e-07,-0.00010194928113208,2.296,30342282.143592,12.1,30342282.143592,38333235.168721,1.2633603228295,4.4219779715153e-05,44.219779715153,5682271178048.6,51.636982650909,7.6256629577091e-07,-5.920849755163e-06,5.7670162213929e-07,1.3392679179102e-06,-3.6458216693067e-07,-6.2854319220937e-06,-0.0034529766628231,0.0048697968483971,0,0,0,1.1022085020459e-07,1.1022085020459e-07,3.0987625112014e-11,2.3650398866869e-07,-0.00011022085020459,0.00023650399069875,-30342282.143592,309.87625112014,2365039.8866869,8.1026540449115,8.5882997709057,6.2351540449115,5.6660858848265,5.611609537386,0,0,0,31.192575433788,2.1798285976063,4.8294205467185e-07,7.1203867904947e-06,1.0058504550211e-10,0.00057224366438154,6.0351027301264e-06,4.8294205467185e-07,-0.00011022085020459,1.1022085020459e-07,0.0041763198155696,0.0086298474742439,8.6298474742439e-16,3921909.5433236,1.2633603228295,1.0177906998499e-07,0.10177906998499,-1.0058504550211e-10,3112500,3921909.5433236,38333235.168721,9.5352398075315e-05,38.686374947117,1.1022085020459e-07,1.1022085020459e-07,0,0,0,112500,3000000,-1.1867311317491e-10,-0.020289062290246,0.00023650399069875,1,2.3486990439225,2365039.9069875,36.274879108841,36235154.044911,38.666085884827,30.623544507525,30.625759534913,0,0,-30623544.507525,-30625759.534913,-36274879.108841,-36235154.044911,0.0019608959947736,-6.5968830567605e-06,75859.957688298,-75859.957688298
4.5,1.4361559627067e-07,-0.00011078351018868,2.296,30154894.165555,12.1,30154894.165555,38141007.757122,1.2648364425477,4.4186384969514e-05,44.186384969514,5541961547725.8,51.669537305928,9.4941546372004e-07,-8.7859703727105e-06,7.3458318329696e-07,1.683998647017e-06,-5.3386759974082e-07,-9.3198379724513e-06,-0.0049630473397816,0.0073118278300288,0,0,0,1.4361559627067e-07,1.4361559627067e-07,4.1412457133641e-11,3.3099270137587e-07,-0.00014361559627067,0.00033099270396655,-30154894.165555,414.12457133641,3309927.0137587,9.9526250812483,10.840973710333,8.0716250812483,7.9423897334642,7.8680165776777,0,0,0,31.683030878956,2.1238568474115,5.8864304228707e-07,1.1803627469202e-05,1.750464260104e-10,0.0006939224505747,1.0502785560624e-05,5.8864304228707e-07,-0.00014361559627067,1.4361559627067e-07,0.0041763198155696,0.0087207094928191,8.7207094928191e-16,4615581.0484748,1.2648364425477,1.0230975845407e-07,0.10230975845407,-1.750464260104e-10,3135000,4615581.0484748,38141007.757122,0.00010096587111637,40.963873229335,1.4361559627067e-07,1.4361559627067e-07,0,0,0,135000,3000000,-1.967271244867e-10,-0.021483495870974,0.00033099270396655,1,3.2922697524586,3309927.0396655,38.121638901457,38071625.081248,40.942389733464,30.203608503571,30.208196567001,0,0,-30203608.503571,-30208196.567001,-38121638.901457,-38071625.081248,0.0019608959947736,-9.8176390723054e-06,80325.89494809,-80325.89494809
5.25,1.7795716572061e-07,-0.00011961773924528,2.296,29966986.260182,12.1,29966986.260182,37948032.142026,1.2663280884142,4.4152043400505e-05,44.152043400505,5404068412317.3,51.702386754281,1.1344968054641e-06,-1.165073949457e-05,8.9320403862381e-07,2.0277008440879e-06,-7.0336307221427e-07,-1.2354102566784e-05,-0.0064713921016176,0.0097543784035199,0,0,0,1.7795716572061e-07,1.7795716572061e-07,5.2768767698741e-11,4.2548378510965e-07,-0.00017795716572061,0.00042548378838185,-29966986.260182,527.68767698741,4254837.8510965,11.803172109243,13.094449417066,9.9086721092432,10.218776194758,10.124971150299,0,0,0,32.173504532247,2.1017301565328,6.9777450668124e-07,1.6403099132887e-05,2.4814151081102e-10,0.00081829664077681,1.4888490648661e-05,6.9777450668124e-07,-0.00017795716572061,1.7795716572061e-07,0.0041763198155696,0.0088146456759841,8.8146456759841e-16,5309628.8463706,1.2663280884142,1.0285430893398e-07,0.10285430893398,-2.4814151081102e-10,3157500,5309628.8463706,37948032.142026,0.0001065795478842,43.241454167578,1.7795716572061e-07,1.7795716572061e-07,0,0,0,157500,3000000,-2.7338498554812e-10,-0.022677972819587,0.00042548378838185,1,4.2358747054927,4254837.8838185,39.968721867348,39908672.109243,43.218776194758,29.783700958944,29.790782059672,0,0,-29783700.958944,-29790782.059672,-39968721.867348,-39908672.109243,0.0019608959947736,-1.3038191361083e-05,84791.994287711,-84791.994287711
6,2.1322399555966e-07,-0.00012845196830189,2.296,29778852.750735,12.1,29778852.750735,37754607.541008,1.2678331656721,4.4116776571118e-05,44.116776571118,5268786595546.3,51.735483515322,1.3180121014176e-06,-1.4515225977027e-05,1.0524260899868e-06,2.3704381914045e-06,-8.7303860023372e-07,-1.538826457726e-05,-0.0079782214359306,0.012197414635196,0,0,0,2.1322399555966e-07,2.1322399555966e-07,6.4936862314616e-11,5.1997770736528e-07,-0.00021322399555966,0.00051997771142006,-29778852.750735,649.36862314616,5199777.0736528,13.654219726668,15.348509367763,11.746219726668,12.495245359774,12.382394707346,0,0,0,32.663996413731,2.0898905178524,8.1050848808743e-07,2.0943724147146e-05,3.2027259931292e-10,0.00094548672023409,1.9216355958775e-05,8.1050848808743e-07,-0.00021322399555966,2.1322399555966e-07,0.0041763198155696,0.0089116388398133,8.9116388398133e-16,6003816.0684911,1.2678331656721,1.034124112376e-07,0.1034124112376,-3.2027259931292e-10,3180000,6003816.0684911,37754607.541008,0.00011219342860334,45.519117852948,2.1322399555966e-07,2.1322399555966e-07,0,0,0,180000,3000000,-3.490620691191e-10,-0.023872493173513,0.00051997771142006,1,5.1795139407734,5199777.1142006,41.816122675542,41746219.726668,45.495245359774,29.363825019322,29.373544591689,0,0,-29363825.019322,-29373544.591689,-41816122.675542,-41746219.726668,0.0019608959947736,-1.6258539698545e-05,89258.255885827,-89258.255885827
6.75,2.4941854904415e-07,-0.00013728619735849,2.296,29590641.781493,12.1,29590641.781493,37560883.976773,1.2693506934902,4.4080582018099e-05,44.080582018099,5136191177696.1,51.768804817069,1.5000625721294e-06,-1.737946484211e-05,1.2121679750122e-06,2.7122305471416e-06,-1.0428732633273e-06,-1.8422338105438e-05,-0.0094836411570073,0.014640919927503,0,0,0,2.4941854904415e-07,2.4941854904415e-07,7.7823244404582e-11,6.1447488387517e-07,-0.00024941854904415,0.00061447488880332,-29590641.781493,778.23244404582,6144748.8387517,15.505718674791,17.603037126655,13.584218674791,14.771798763754,14.640236033606,0,0,0,33.154506861782,2.0825397155878,9.2702777344085e-07,2.543920923426e-05,3.9165936774966e-10,0.0010756201946203,2.349956206498e-05,9.2702777344085e-07,-0.00024941854904415,2.4941854904415e-07,0.0041763198155696,0.0090117382560783,9.0117382560783e-16,6698030.753108,1.2693506934902,1.0398408704635e-07,0.10398408704635,-3.9165936774966e-10,3202500,6698030.753108,37560883.976773,0.00011780751705977,47.796865821488,2.4941854904415e-07,2.4941854904415e-07,0,0,0,202500,3000000,-4.23986820571e-10,-0.025067057733992,0.00061447488880332,1,6.1231880946872,6144748.8880332,43.66384100217,43584218.674791,47.771798763754,28.943982641185,28.956502180603,0,0,-28943982.641185,-28956502.180603,-43663841.00217,-43584218.674791,0.0019608959947736,-1.9478680298725e-05,93724.682754465,-93724.682754465
