time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,inj_saveiin_sum_legacy_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,prod_saveiin_sum_legacy_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.4425450408239e-08,-8.133608e-05,2.296,30785758.715475,12.1,30785758.715475,38787323.193671,1.2599112445543,4.4295575113982e-05,44.295575113982,6025670953790,51.560733129873,3.1777494960336e-07,7.6511168424782e-07,2.0871786274805e-07,5.2649281235141e-07,3.0442705095326e-08,7.9555438934315e-07,7.8619551286418e-05,0.00082473982207935,0,0,0,3.4425450408239e-08,3.4425450408239e-08,1.353919505758e-11,1.6040666128041e-08,-3.4425450408239e-05,1.6040671841949e-05,-30785758.715475,135.3919505758,160406.66128041,3.7583594996158,3.3267526512695,1.9493594996158,0.35486133412407,0.3456591630417,0,0,0,30.070712697183,1.9521200281064,4.3951570096532e-08,1.563517006683e-05,2.7369045927829e-10,7.4491462612542e-05,1.6421427556697e-05,4.4769926560762e-08,-3.4425450408239e-05,3.4425450408239e-08,0.0041763198155696,0.008425387651618,8.425387651618e-16,2295655.2527562,1.2599112445543,1.0056669157304e-07,0.10056669157304,2.7369045927829e-10,9.0474897185797e-11,3015000,2295655.2527562,38787323.193671,8.2254666925523e-05,33.372363465023,3.4425450408239e-08,3.4425450408239e-08,0,0,0,15000,3000000,2.6058616778051e-10,8.5871950784468e-11,-0.017502130899238,1.6040671841949e-05,1,0.14709668951793,160406.71841949,31.968119399972,31949359.499616,33.354861334124,31.603700336574,31.603110992106,0,0,-31603700.336574,-31603110.992106,-31968119.399972,-31949359.499616,0.0019608959947736,9.185869255233e-07,65439.733854692,-65439.733854692
2,3.6445253841552e-08,-8.133608e-05,2.296,30773602.965391,12.1,30773602.965391,38774891.975251,1.2600049792448,4.4293555310575e-05,44.293555310575,6016046077068,51.562808678901,3.1651474536535e-07,7.6681146586554e-07,2.1266251473128e-07,5.2917726009663e-07,2.9367061520302e-08,7.9617852738584e-07,8.0530244717345e-05,0.00082564901011405,0,0,0,3.6445253841552e-08,3.6445253841552e-08,1.0645999728262e-11,1.6038069771556e-08,-3.6445253841552e-05,1.603807330494e-05,-30773602.965391,106.45999728262,160380.69771556,3.7889585967538,3.3378967021669,1.9529585967538,0.35504841515495,0.34949719589657,0,0,0,30.048253930506,1.888787157603,1.7598458039722e-07,1.2346849796601e-05,2.3152993175365e-10,0.00029815742913037,1.3891795905219e-05,1.7926132611203e-07,-3.6445253841552e-05,3.6445253841552e-08,0.0041763198155696,0.0084308047980596,8.4308047980596e-16,2308230.1756886,1.2600049792448,1.0060067781403e-07,0.10060067781403,2.3152993175365e-10,8.6266693249902e-11,3060000,2308230.1756886,38774891.975251,8.22551282762e-05,33.37255064422,3.6445253841552e-08,3.6445253841552e-08,0,0,0,60000,3000000,2.0578082994335e-10,7.6845248278785e-11,-0.017502229065045,1.603807330494e-05,1,0.14717423811979,160380.7330494,31.967253662548,31952958.596754,33.355048415155,31.603461400857,31.600561997295,0,0,-31603461.400857,-31600561.997295,-31967253.662548,-31952958.596754,0.0019608959947736,9.1904827620032e-07,65440.100893629,-65440.100893629
3.8,1.1261949152792e-07,-0.00010253822973585,2.296,30328666.081296,12.1,30328666.081296,38319274.583711,1.2634672039843,4.4217381073861e-05,44.217381073861,5671981638071.5,51.639341394968,7.7229904118448e-07,-6.1112038332729e-06,5.8797865167005e-07,1.3602776928545e-06,-3.7612138808634e-07,-6.4873252213592e-06,-0.0035509359934908,0.0050333002762556,0,0,0,1.1261949152792e-07,1.1261949152792e-07,3.296470182494e-11,2.4280077193278e-07,-0.00011261949152792,0.00024280077417056,-30328666.081296,329.6470182494,2428007.7193278,8.2266781456629,8.7396946019157,6.3582781456629,5.8178190704896,5.7626754947901,0,0,0,31.225267966298,2.1675942281996,3.4663163737568e-07,2.0653293753585e-05,2.9481266200719e-10,0.00058031104868178,1.7688759720431e-05,3.5308574676313e-07,-0.00011261949152792,1.1261949152792e-07,0.0041763198155696,0.0086363580119458,8.6363580119458e-16,3969027.4270881,1.2634672039843,1.0181557862989e-07,0.10181557862989,-2.9481266200719e-10,-1.0311463425999e-10,3114000,3969027.4270881,38319274.583711,9.5726579296306e-05,38.838187752097,1.1261949152792e-07,1.1261949152792e-07,0,0,0,114000,3000000,-3.4422156255975e-10,-1.2136863213101e-10,-0.0203686816077,0.00024280077417056,1,2.4115952998816,2428007.7417056,36.39831883072,36358278.145663,38.81781907049,30.595602650873,30.598081928577,0,0,-30595602.650873,-30598081.928577,-36398318.83072,-36358278.145663,0.0019608959947736,-6.8116504395429e-06,76157.646807352,-76157.646807352
5.96,2.1154286573726e-07,-0.00012798080941887,2.296,29787726.137402,12.1,29787726.137402,37763734.783771,1.2677619467729,4.4118457700919e-05,44.118457700919,5275113038627,51.733918367065,1.3028590964878e-06,-1.4361293763591e-05,1.0450406574555e-06,2.3478997539433e-06,-8.6447981085913e-07,-1.522577357445e-05,-0.0078925753298987,0.012068614462785,0,0,0,2.1154286573726e-07,2.1154286573726e-07,6.6300328034829e-11,5.1493475659238e-07,-0.00021154286573726,0.00051493476086062,-29787726.137402,663.00328034829,5149347.5659238,13.556934405251,15.230310797296,11.649654405251,12.373766773198,12.263265698579,0,0,0,32.637822102212,2.0871490416995,5.6915100758812e-07,5.6980221979872e-05,8.7354201669222e-10,0.00093869508792165,5.2412521001533e-05,5.797483174262e-07,-0.00021154286573726,2.1154286573726e-07,0.0041763198155696,0.0089070046727684,8.9070046727684e-16,5967760.6534096,1.2677619467729,1.0338236179606e-07,0.10338236179606,-8.7354201669222e-10,-3.1372820463718e-10,3178800,5967760.6534096,37763734.783771,0.00011189385666153,45.397575524717,2.1154286573726e-07,2.1154286573726e-07,0,0,0,178800,3000000,-9.4967036633119e-10,-3.42263789743e-10,-0.023808751518708,0.00051493476086062,1,5.1291587845071,5149347.6086062,41.718342366637,41649654.405251,45.373766773198,29.386388706672,29.396310897585,0,0,-29386388.706672,-29396310.897585,-41718342.366637,-41649654.405251,0.0019608959947736,-1.6086952757337e-05,89019.924018847,-89019.924018847
8.552,3.4048691226041e-07,-0.00015851190503849,2.296,29137536.63621,12.1,29137536.63621,37093595.224715,1.2730537679675,4.3989513656057e-05,43.989513656057,4828018915357.2,51.849907881785,1.9229317832177e-06,-2.4258606228457e-05,1.5991132883887e-06,3.5220450716065e-06,-1.4521843724929e-06,-2.571079060095e-05,-0.013086573766305,0.020516316186131,0,0,0,3.4048691226041e-07,3.4048691226041e-07,1.1361394739229e-10,8.4153303053709e-07,-0.0003404869122604,0.00084153303820651,-29137536.63621,1136.1394739229,8415330.3053709,19.958173418602,23.024303007824,18.004237418602,20.241816710479,20.068487122674,0,0,0,34.333088226312,2.0684718923817,8.6570914923908e-07,0.0001002917200227,1.5644105183892e-09,0.0014012345367281,9.3864631103349e-05,8.8182822477762e-07,-0.00034048691226041,3.4048691226041e-07,0.0041763198155696,0.0092660904545253,9.2660904545253e-16,8366775.9820366,1.2730537679675,1.0541137332748e-07,0.10541137332748,-1.5644105183892e-09,-5.5766393749187e-10,3256560,8366775.9820366,37093595.224715,0.00013129684024649,53.269754024804,3.4048691226041e-07,3.4048691226041e-07,0,0,0,256560,3000000,-1.671528667045e-09,-5.9846045656686e-10,-0.027937314325627,0.00084153303820651,1,8.3906132948796,8415330.3820651,48.105992324663,48004237.418602,53.241816710479,27.935750295928,27.956485946213,0,0,-27935750.295928,-27956485.946213,-48105992.324663,-48004237.418602,0.0019608959947736,-2.7215064792005e-05,104456.44730981,-104456.44730981
10.1072,4.2339875025846e-07,-0.00017683056241026,2.296,28748330.461492,12.1,28748330.461492,36691164.256193,1.2762921212102,4.3906601819132e-05,43.906601819132,4575405356119,51.920592685318,2.2889152529516e-06,-3.019612736904e-05,1.9336685961368e-06,4.2225838490884e-06,-1.8053575386709e-06,-3.2001484907711e-05,-0.016197215318877,0.025587017353268,0,0,0,4.2339875025846e-07,4.2339875025846e-07,1.4457435926738e-10,1.0375160060139e-06,-0.00042339875025846,0.0010375160160869,-28748330.461492,1445.7435926738,10375160.060139,23.800607940281,27.70184719198,21.818678340281,24.963189816215,24.753161958615,0,0,0,35.350367611497,2.0631624894346,1.061438873525e-06,0.00012654680255765,1.9838109385166e-09,0.00169799289577,0.00011902865631099,1.081202339577e-06,-0.00042339875025846,4.2339875025846e-07,0.0041763198155696,0.0095007612358577,9.5007612358577e-16,9805281.4194975,1.2762921212102,1.067105625855e-07,0.1067105625855,-1.9838109385166e-09,-7.0179136750099e-10,3303216,9805281.4194975,36691164.256193,0.00014293996981471,57.993604553225,4.2339875025846e-07,4.2339875025846e-07,0,0,0,303216,3000000,-2.1091133759608e-09,-7.4996990784085e-10,-0.030414737010041,0.0010375160160869,1,10.347711144233,10375160.160869,51.940183908332,51818678.340281,57.963189816215,27.065516381666,27.093673047574,0,0,-27065516.381666,-27093673.047574,-51940183.908332,-51818678.340281,0.0019608959947736,-3.3890592595551e-05,113719.4268909,-113719.4268909
11.97344,5.2894146023798e-07,-0.00019881295125639,2.296,28281767.268163,12.1,28281767.268163,36207453.834416,1.2802467635224,4.3801059110525e-05,43.801059110525,4286846045011.9,52.006608920284,2.7199938978804e-06,-3.7319883969427e-05,2.3374477279141e-06,5.0574416257944e-06,-2.2297914845855e-06,-3.9549675454012e-05,-0.019922236314839,0.031674541930574,0,0,0,5.2894146023798e-07,5.2894146023798e-07,1.8420011872508e-10,1.2727221361052e-06,-0.00052894146023798,0.0012727221494347,-28281767.268163,1842.0011872508,12727221.361052,28.41357794592,33.316757505648,26.39805602592,30.629397559568,30.376579122468,0,0,0,36.571226303337,2.0589020832267,1.3165287260731e-06,0.00015833286478372,2.4920916877294e-09,0.0020756720241563,0.00014952550126377,1.3410418388234e-06,-0.00052894146023798,5.2894146023798e-07,0.0041763198155696,0.0098037715879291,9.8037715879291e-16,11531169.132881,1.2802467635224,1.0835688182255e-07,0.10835688182255,-2.4920916877294e-09,-8.7251265309188e-10,3359203.2,11531169.132881,36207453.834416,0.00015691310632371,63.662785497655,5.2894146023798e-07,5.2894146023798e-07,0,0,0,359203.2,3000000,-2.6388810797286e-09,-9.296024975028e-10,-0.033387938086548,0.0012727221494347,1,12.696460700804,12727221.494347,56.543160669898,56398056.02592,63.629397559568,26.021476903451,26.059612225311,0,0,-26021476.903451,-26059612.225311,-56543160.669899,-56398056.02592,0.0019608959947736,-4.1899844932685e-05,124836.10109848,-124836.10109848
14.212928,6.6484155478883e-07,-0.00022519181787175,2.296,27723281.150855,12.1,27723281.150855,35626548.268813,1.2850888604872,4.3665159017751e-05,43.665159017751,3961136401191.9,52.111475371863,3.2256215395156e-06,-4.5866554589945e-05,2.8252000669621e-06,6.0508216064777e-06,-2.7398984406572e-06,-4.8606453030602e-05,-0.024381097836735,0.038983426382812,0,0,0,6.6484155478883e-07,6.6484155478883e-07,2.3456071802671e-10,1.5550115921302e-06,-0.00066484155478883,0.001555011609821,-27723281.150855,2345.6071802671,15550115.921302,33.95188123614,40.056786178576,31.89604853214,37.429710386746,37.127059242571,0,0,0,38.036447059756,2.0553292685631,1.6557896357187e-06,0.00019698979029587,3.1110320441203e-09,0.002563739055953,0.00018666192264722,1.686619618557e-06,-0.00066484155478883,6.6484155478883e-07,0.0041763198155696,0.010201021387643,1.0201021387643e-15,13601229.410727,1.2850888604872,1.1046547584916e-07,0.11046547584916,-3.1110320441203e-09,-1.0747562907099e-09,3426387.84,13601229.410727,35626548.268813,0.00017368299965307,70.466666619243,6.6484155478883e-07,6.6484155478883e-07,0,0,0,426387.84,3000000,-3.2831631715979e-09,-1.1426389612397e-09,-0.036956232496976,0.001555011609821,1,15.515318120233,15550116.09821,62.06961420296,61896048.53214,70.429710386746,24.76898928957,24.820711459819,0,0,-24768989.28957,-24820711.459819,-62069614.20296,-61896048.53214,0.0019608959947736,-5.1508818218679e-05,138177.80433872,-138177.80433872
16.9003136,8.4238115413249e-07,-0.00025684645781017,2.296,27055658.004215,12.1,27055658.004215,34929347.989376,1.29103958139,4.3487619420745e-05,43.487619420745,3598693456203,52.239672253759,3.8150985139938e-06,-5.6119763125465e-05,3.4152479862884e-06,7.2303465002822e-06,-3.3530419978857e-06,-5.9472805123351e-05,-0.029715164947136,0.047759729501896,0,0,0,8.4238115413249e-07,8.4238115413249e-07,2.980275221643e-10,1.8938253747201e-06,-0.00084238115413249,0.0018938253981701,-27055658.004215,2980.275221643,18938253.747201,40.601600148676,48.147490397774,38.497394503876,45.591446291393,45.230855873222,0,0,0,39.795011829139,2.0521788739089,2.1188969426432e-06,0.0002442768134848,3.8693803170764e-09,0.003207179411914,0.00023216281902458,2.158349754141e-06,-0.00084238115413249,8.4238115413249e-07,0.0041763198155696,0.010732030211786,1.0732030211786e-15,16083493.156497,1.29103958139,1.1320294451055e-07,0.11320294451055,-3.8693803170764e-09,-1.314313338772e-09,3507009.408,16083493.156497,34929347.989376,0.00019381022673538,78.632685191078,8.4238115413249e-07,8.4238115413249e-07,0,0,0,507009.408,3000000,-4.0712802247466e-09,-1.3953086012817e-09,-0.041238899684728,0.0018938253981701,1,18.898510981345,18938253.981701,68.705682792831,68497394.503876,78.591446291393,23.266538630654,23.336946021377,0,0,-23266538.630654,-23336946.021377,-68705682.792831,-68497394.503876,0.0019608959947736,-6.3036231074792e-05,154190.51744947,-154190.51744947
