time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,inj_saveiin_sum_legacy_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,prod_saveiin_sum_legacy_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.6672723665243e-08,-3.426132e-05,2.296,30772227.240604,12.1,30772227.240604,38773485.377764,1.2600155718572,4.4293327840754e-05,44.293327840754,6014952540561.8,51.563043294758,3.7413299466685e-07,5.0068247878492e-07,1.9134780669311e-07,5.6548080135996e-07,1.6145087475555e-08,5.1682756626048e-07,-9.5283641275523e-05,0.0006177211911258,0,0,0,3.6672723665243e-08,3.6672723665243e-08,1.0867029401394e-11,2.5164970303146e-08,-3.6672723665243e-05,2.5164972649509e-05,-30772227.240604,108.67029401394,251649.70303146,3.9245844250677,3.5398322095119,2.1245844250677,0.57491777148925,0.56041227635076,0,0,0,30.126713916797,1.973910810405,0,0.00013321148893378,2.2796661239507e-09,0,0.00013677996743704,0,-3.6672723665243e-05,3.6672723665243e-08,0.0041766659494274,0.0084314142692084,8.4314142692084e-16,2358746.307407,1.2600155718572,1.0064768288302e-07,0.10064768288302,2.2796661239507e-09,8.2178867655145e-10,3000000,2358746.307407,38773485.377764,3.4873974949316e-05,33.590263931432,3.6672723665243e-08,3.6672723665243e-08,0,0,0,0,3000000,2.2201914822297e-09,7.9829812306557e-10,-0.015346159942453,2.5164972649509e-05,1,0.2383142168471,251649.72649509,32.137880507312,32124584.425068,33.574917771489,31.564172148717,31.560191889445,0,0,-31564172.148717,-31560191.889445,-32137880.507312,-32124584.425068,0.0019610285944388,6.1265494931603e-07,65871.468064285,-65871.468064285
1,3.6672723665243e-08,-3.426132e-05,2.296,30772227.240604,12.1,30772227.240604,38773485.377764,1.2600155718572,4.4293327840754e-05,44.293327840754,6014952540561.8,51.563043294758,3.7413299466685e-07,5.0068247878492e-07,1.9134780669311e-07,5.6548080135996e-07,1.6145087475555e-08,5.1682756626048e-07,-9.5283641275523e-05,0.0006177211911258,0,0,0,3.6672723665243e-08,3.6672723665243e-08,1.0867029401394e-11,2.5164970303146e-08,-3.6672723665243e-05,2.5164972649509e-05,-30772227.240604,108.67029401394,251649.70303146,3.9245844250677,3.5398322095119,2.1245844250677,0.57491777148925,0.56041227635076,0,0,0,30.126713916797,1.9726338164455,0,0.00010940367519389,1.8746979137826e-09,0,0.00011248187482695,0,-3.6672723665243e-05,3.6672723665243e-08,0.0041766659494274,0.0084314142692084,8.4314142692084e-16,2358746.307407,1.2600155718572,1.0064768288302e-07,0.10064768288302,1.8746979137826e-09,8.2178867655145e-10,3000000,2358746.307407,38773485.377764,3.4873974949316e-05,33.590263931432,3.6672723665243e-08,3.6672723665243e-08,0,0,0,0,3000000,1.8233945865648e-09,7.9829812306557e-10,-0.015346159942453,2.5164972649509e-05,1,0.2383142168471,251649.72649509,32.137880507312,32124584.425068,33.574917771489,31.564172148717,31.560191889445,0,0,-31564172.148717,-31560191.889445,-32137880.507312,-32124584.425068,0.0019610285944388,6.1265494931603e-07,65871.468064285,-65871.468064285
1.6,3.6672723665243e-08,-3.426132e-05,2.296,30772227.240604,12.1,30772227.240604,38773485.377764,1.2600155718572,4.4293327840754e-05,44.293327840754,6014952540561.8,51.563043294758,3.7413299466685e-07,5.0068247878492e-07,1.9134780669311e-07,5.6548080135996e-07,1.6145087475555e-08,5.1682756626048e-07,-9.5283641275523e-05,0.0006177211911258,0,0,0,3.6672723665243e-08,3.6672723665243e-08,1.0867029401394e-11,2.5164970303146e-08,-3.6672723665243e-05,2.5164972649509e-05,-30772227.240604,108.67029401394,251649.70303146,3.9245844250677,3.5398322095119,2.1245844250677,0.57491777148925,0.56041227635076,0,0,0,30.126713916797,1.9726338164455,0,0.00010940367519389,1.8746979137826e-09,0,0.00011248187482695,0,-3.6672723665243e-05,3.6672723665243e-08,0.0041766659494274,0.0084314142692084,8.4314142692084e-16,2358746.307407,1.2600155718572,1.0064768288302e-07,0.10064768288302,1.8746979137826e-09,8.2178867655145e-10,3000000,2358746.307407,38773485.377764,3.4873974949316e-05,33.590263931432,3.6672723665243e-08,3.6672723665243e-08,0,0,0,0,3000000,1.8233945865648e-09,7.9829812306557e-10,-0.015346159942453,2.5164972649509e-05,1,0.2383142168471,251649.72649509,32.137880507312,32124584.425068,33.574917771489,31.564172148717,31.560191889445,0,0,-31564172.148717,-31560191.889445,-32137880.507312,-32124584.425068,0.0019610285944388,6.1265494931603e-07,65871.468064285,-65871.468064285
2,3.6672723665243e-08,-3.426132e-05,2.296,30772227.240604,12.1,30772227.240604,38773485.377764,1.2600155718572,4.4293327840754e-05,44.293327840754,6014952540561.8,51.563043294758,3.7413299466685e-07,5.0068247878492e-07,1.9134780669311e-07,5.6548080135996e-07,1.6145087475555e-08,5.1682756626048e-07,-9.5283641275523e-05,0.0006177211911258,0,0,0,3.6672723665243e-08,3.6672723665243e-08,1.0867029401394e-11,2.5164970303146e-08,-3.6672723665243e-05,2.5164972649509e-05,-30772227.240604,108.67029401394,251649.70303146,3.9245844250677,3.5398322095119,2.1245844250677,0.57491777148925,0.56041227635076,0,0,0,30.126713916797,1.9726338164455,0,0.00010940367519389,1.8746979137826e-09,0,0.00011248187482695,0,-3.6672723665243e-05,3.6672723665243e-08,0.0041766659494274,0.0084314142692084,8.4314142692084e-16,2358746.307407,1.2600155718572,1.0064768288302e-07,0.10064768288302,1.8746979137826e-09,8.2178867655145e-10,3000000,2358746.307407,38773485.377764,3.4873974949316e-05,33.590263931432,3.6672723665243e-08,3.6672723665243e-08,0,0,0,0,3000000,1.8233945865648e-09,7.9829812306557e-10,-0.015346159942453,2.5164972649509e-05,1,0.2383142168471,251649.72649509,32.137880507312,32124584.425068,33.574917771489,31.564172148717,31.560191889445,0,0,-31564172.148717,-31560191.889445,-32137880.507312,-32124584.425068,0.0019610285944388,6.1265494931603e-07,65871.468064285,-65871.468064285
3.5,1.0102188000478e-07,-4.545261e-05,2.296,30394736.65615,12.1,30394736.65615,38387006.208673,1.2629491396674,4.4228978685235e-05,44.228978685235,5722053738217.9,51.627905964496,7.792267078759e-07,-5.2275499601356e-06,4.6312665621683e-07,1.2423533640927e-06,-3.1933403255397e-07,-5.5468839926896e-06,-0.0031422023953366,0.0042498278735405,0,0,0,1.0102188000478e-07,1.0102188000478e-07,2.9758367104904e-11,2.1450253409176e-07,-0.00010102188000478,0.00021450253615598,-30394736.65615,297.58367104904,2145025.3409176,7.6011685572091,8.0581582049585,5.8011685572091,5.1347703967673,5.0767676728065,0,0,0,31.131721614972,2.0409508590256,0,0.00013905031173253,2.2263348701316e-09,0,0.0001335800922079,0,-0.00010102188000478,1.0102188000478e-07,0.0041766659494274,0.0086049024202898,8.6049024202898e-16,3761649.4129157,1.2629491396674,1.015721434058e-07,0.1015721434058,-2.2263348701316e-09,-8.6032069311601e-10,3000000,3761649.4129157,38387006.208673,3.9610254176577e-05,38.152200720337,1.0102188000478e-07,1.0102188000478e-07,0,0,0,0,3000000,-2.3175051955421e-09,-9.0014085003799e-10,-0.017430323570089,0.00021450253615598,1,2.1284587926817,2145025.3615598,35.841191430031,35801168.557209,38.134770396767,30.724400884403,30.73336570203,0,0,-30724400.884403,-30733365.70203,-35841191.430031,-35801168.557209,0.0019610285944388,-5.8423558234228e-06,74817.556588705,-74817.556588705
5.3,1.8227167272737e-07,-5.8882158e-05,2.296,29943744.023772,12.1,29943744.023772,37924146.555641,1.2665134730601,4.4147728893553e-05,44.147728893553,5387224936049.7,51.70646567462,1.231230294834e-06,-1.2097231220152e-05,7.9503790089182e-07,2.0262681957258e-06,-7.2242460977721e-07,-1.2819655829929e-05,-0.0067664178713855,0.010103193575426,0,0,0,1.8227167272737e-07,1.8227167272737e-07,3.4637764681953e-11,4.4168152808231e-07,-0.00018227167272737,0.0004416815294405,-29943744.023772,346.37764681953,4416815.2808231,12.013672895881,13.485703915389,10.213672895881,10.605285539406,10.494820549207,0,0,0,32.337442563245,2.0225321425832,0,0.00035638268737719,5.8088261570743e-09,0,0.00034852956942446,0,-0.00018227167272737,1.8227167272737e-07,0.0041766659494274,0.0088264866249786,8.8264866249786e-16,5453385.0325137,1.2665134730601,1.0264125324746e-07,0.10264125324746,-5.8088261570743e-09,-2.4440061795351e-09,3000000,5453385.0325137,37924146.555641,4.5292430674255e-05,43.625216301136,1.8227167272737e-07,1.8227167272737e-07,0,0,0,0,3000000,-5.9397114562865e-09,-2.5039855536995e-09,-0.0199307617304,0.0004416815294405,1,4.3960900899209,4416815.294405,40.298061010082,40213672.895881,43.605285539406,29.718852346675,29.756670822297,0,0,-29718852.346675,-29756670.822297,-40298061.010082,-40213672.895881,0.0019610285944388,-1.3589727325745e-05,85550.296605107,-85550.296605107
7.46,2.8532238763354e-07,-7.49976156e-05,2.296,29408796.887741,12.1,29408796.887741,37373493.969536,1.2708287882901,4.4044678179972e-05,44.044678179972,5010757946094.2,51.801210761757,1.7361310096638e-06,-2.0337363660059e-05,1.1996176966675e-06,2.9357487063313e-06,-1.206771807567e-06,-2.1544135467626e-05,-0.011080726596303,0.017141762150438,0,0,0,2.8532238763354e-07,2.8532238763354e-07,2.5228103901299e-11,7.143076187549e-07,-0.00028532238763354,0.00071430761920041,-29408796.887741,252.28103901299,7143076.187549,17.310487643817,20.001230824396,15.510487643817,17.168933203655,16.995687857333,0,0,0,33.784093798004,2.0185010820298,0,0.00058196146631371,9.5231688439298e-09,0,0.00057139013063579,0,-0.00028532238763354,2.8532238763354e-07,0.0041766659494274,0.0091116130575453,9.1116130575453e-16,7484571.9676327,1.2708287882901,1.0393147725494e-07,0.10393147725494,-9.5231688439298e-09,-4.1319896876029e-09,3000000,7484571.9676327,37373493.969536,5.211003439192e-05,50.191864025953,2.8532238763354e-07,2.8532238763354e-07,0,0,0,0,3000000,-9.6993577718952e-09,-4.2169683371324e-09,-0.022930822297866,0.00071430761920041,1,7.1168453532591,7143076.1920041,45.659362225606,45510487.643817,50.168933203655,28.514799786484,28.599161979917,0,0,-28514799.786484,-28599161.979917,-45659362.225606,-45510487.643817,0.0019610285944388,-2.288758120808e-05,98427.680563081,-98427.680563081
10.052,4.1733930564984e-07,-9.433616472e-05,2.296,28776776.588001,12.1,28776776.588001,36720576.810618,1.2760554446998,4.3912661263662e-05,43.912661263662,4593870489842.7,51.915426630657,2.295558158513e-06,-3.0221384301136e-05,1.6925210419093e-06,3.9880792004223e-06,-1.7887710071175e-06,-3.2010155308253e-05,-0.016214938067734,0.025606199245409,0,0,0,4.1733930564984e-07,4.1733930564984e-07,4.4390743469841e-12,1.0414866562564e-06,-0.00041733930564984,0.0010414866562658,-28776776.588001,44.390743469839,10414866.562564,23.669438365864,27.820425448488,21.869438365864,25.044576604358,24.796163355213,0,0,0,35.519913548386,2.0177876756485,0,0.00082668514346098,1.3537288821631e-08,0,0.00081223732929786,0,-0.00041733930564984,4.1733930564984e-07,0.0041766659494274,0.0094836107002914,9.4836107002914e-16,9918311.8043729,1.2760554446998,1.0554842025494e-07,0.10554842025494,-1.3537288821631e-08,-5.9970887108977e-09,3000000,9918311.8043729,36720576.810618,6.0290396665185e-05,58.07110716394,4.1733930564984e-07,4.1733930564984e-07,0,0,0,0,3000000,-1.377808572435e-08,-6.1095001761527e-09,-0.026530559581097,0.0010414866562658,1,10.381447496873,10414866.562658,52.107719015687,51869438.365864,58.044576604358,27.07327501065,27.22574773444,0,0,-27073275.01065,-27225747.73444,-52107719.015687,-51869438.365864,0.0019610285944388,-3.4045768054815e-05,113879.10165921,-113879.10165921
13.1624,5.8876258317412e-07,-0.000117542423664,2.296,28032604.544061,12.1,28032604.544061,35948441.565001,1.2823981511531,4.374123798837e-05,43.74123798837,4140021363611.5,52.053238822134,2.9067572796102e-06,-4.2076800975768e-05,2.2935146493356e-06,5.2002719289458e-06,-2.4881657068733e-06,-4.4564966682641e-05,-0.022320375854182,0.035786970254061,0,0,0,5.8876258317412e-07,5.8876258317412e-07,-2.4568136504529e-11,1.4341420680732e-06,-0.00058876258317412,0.0014341420682837,-28032604.544061,-245.68136504529,14341420.680732,31.304509385329,37.202881687472,29.504509385329,34.494878885976,34.156594859173,0,0,0,37.602793703428,2.0178243872718,0,0.0011008620126306,1.8026390839083e-08,0,0.001081583450345,0,-0.00058876258317412,5.8876258317412e-07,0.0041766659494274,0.0099780212089816,9.9780212089816e-16,12830620.503573,1.2823981511531,1.0767407504861e-07,0.10767407504861,-1.8026390839083e-08,-8.0667966604039e-09,3000000,12830620.503573,35948441.565001,7.0106343416736e-05,67.525728915566,5.8876258317412e-07,5.8876258317412e-07,0,0,0,0,3000000,-1.834770021051e-08,-8.2139670339205e-09,-0.030850029589743,0.0014341420682837,1,14.298775328605,14341420.682837,59.864154269716,59504509.385329,67.494878885976,25.347914526155,25.596324796583,0,0,-25347914.526155,-25596324.796583,-59864154.269716,-59504509.385329,0.0019610285944388,-4.7436080247264e-05,132419.88526375,-132419.88526375
