time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,inj_saveiin_sum_legacy_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,prod_saveiin_sum_legacy_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.6838470863037e-08,-3.426132e-05,2.296,30771230.527679,12.1,30771230.527679,38772466.041632,1.2600232595291,4.4293162093558e-05,44.293162093558,6014163853965.9,51.563213513575,3.7255019660217e-07,4.9461761147779e-07,1.9926697680481e-07,5.7181717340699e-07,1.9065589740319e-08,5.1368320121811e-07,-9.6733396267107e-05,0.00061162315245496,0,0,0,3.6838470863037e-08,3.6838470863037e-08,7.7890863641611e-12,2.5171432202674e-08,-3.6838470863037e-05,2.5171433407807e-05,-30771230.527679,77.890863641611,251714.32202674,3.8176488572746,3.4335052651283,2.0176488572746,0.57781776501332,0.46067257097758,0,0,0,30.127353085659,1.9691992963613,0,0.00013279600721831,2.2836033778411e-09,0,0.00013701620267047,0,-3.6838470863037e-05,3.6838470863037e-08,0.0041766659494274,0.0084318588774714,8.4318588774714e-16,2359760.6797561,1.2600232595291,1.006492494382e-07,0.1006492494382,2.2836033778411e-09,8.2285017247424e-10,3000000,2359760.6797561,38772466.041632,3.4876987147356e-05,33.593165250462,3.6838470863037e-08,3.6838470863037e-08,0,0,0,0,3000000,2.2132667869718e-09,7.9462197211016e-10,-0.015347485448729,2.5171433407807e-05,1,0.23951631864291,251714.33407807,32.141100886268,32017648.857275,33.577817765013,31.556976286297,31.55973395512,0,0,-31556976.286297,-31559733.95512,-32141100.886268,-32017648.857275,0.0019610285944388,6.1566714735623e-07,65877.157633865,-65877.157633865
1,3.6838470863037e-08,-3.426132e-05,2.296,30771230.527679,12.1,30771230.527679,38772466.041632,1.2600232595291,4.4293162093558e-05,44.293162093558,6014163853965.9,51.563213513575,3.7255019660217e-07,4.9461761147779e-07,1.9926697680481e-07,5.7181717340699e-07,1.9065589740319e-08,5.1368320121811e-07,-9.6733396267107e-05,0.00061162315245496,0,0,0,3.6838470863037e-08,3.6838470863037e-08,7.7890863641611e-12,2.5171432202674e-08,-3.6838470863037e-05,2.5171433407807e-05,-30771230.527679,77.890863641611,251714.32202674,3.8176488572746,3.4335052651283,2.0176488572746,0.57781776501332,0.46067257097758,0,0,0,30.127353085659,1.967469535269,0,0.00010896931916205,1.8772222309435e-09,0,0.00011263333385661,0,-3.6838470863037e-05,3.6838470863037e-08,0.0041766659494274,0.0084318588774714,8.4318588774714e-16,2359760.6797561,1.2600232595291,1.006492494382e-07,0.1006492494382,1.8772222309435e-09,8.2285017247424e-10,3000000,2359760.6797561,38772466.041632,3.4876987147356e-05,33.593165250462,3.6838470863037e-08,3.6838470863037e-08,0,0,0,0,3000000,1.8161553193675e-09,7.9462197211016e-10,-0.015347485448729,2.5171433407807e-05,1,0.23951631864291,251714.33407807,32.141100886268,32017648.857275,33.577817765013,31.556976286297,31.55973395512,0,0,-31556976.286297,-31559733.95512,-32141100.886268,-32017648.857275,0.0019610285944388,6.1566714735623e-07,65877.157633865,-65877.157633865
1.6,3.6838470863037e-08,-3.426132e-05,2.296,30771230.527679,12.1,30771230.527679,38772466.041632,1.2600232595291,4.4293162093558e-05,44.293162093558,6014163853965.9,51.563213513575,3.7255019660217e-07,4.9461761147779e-07,1.9926697680481e-07,5.7181717340699e-07,1.9065589740319e-08,5.1368320121811e-07,-9.6733396267107e-05,0.00061162315245496,0,0,0,3.6838470863037e-08,3.6838470863037e-08,7.7890863641611e-12,2.5171432202674e-08,-3.6838470863037e-05,2.5171433407807e-05,-30771230.527679,77.890863641611,251714.32202674,3.8176488572746,3.4335052651283,2.0176488572746,0.57781776501332,0.46067257097758,0,0,0,30.127353085659,1.967469535269,0,0.00010896931916205,1.8772222309435e-09,0,0.00011263333385661,0,-3.6838470863037e-05,3.6838470863037e-08,0.0041766659494274,0.0084318588774714,8.4318588774714e-16,2359760.6797561,1.2600232595291,1.006492494382e-07,0.1006492494382,1.8772222309435e-09,8.2285017247424e-10,3000000,2359760.6797561,38772466.041632,3.4876987147356e-05,33.593165250462,3.6838470863037e-08,3.6838470863037e-08,0,0,0,0,3000000,1.8161553193675e-09,7.9462197211016e-10,-0.015347485448729,2.5171433407807e-05,1,0.23951631864291,251714.33407807,32.141100886268,32017648.857275,33.577817765013,31.556976286297,31.55973395512,0,0,-31556976.286297,-31559733.95512,-32141100.886268,-32017648.857275,0.0019610285944388,6.1566714735623e-07,65877.157633865,-65877.157633865
2,3.6838470863037e-08,-3.426132e-05,2.296,30771230.527679,12.1,30771230.527679,38772466.041632,1.2600232595291,4.4293162093558e-05,44.293162093558,6014163853965.9,51.563213513575,3.7255019660217e-07,4.9461761147779e-07,1.9926697680481e-07,5.7181717340699e-07,1.9065589740319e-08,5.1368320121811e-07,-9.6733396267107e-05,0.00061162315245496,0,0,0,3.6838470863037e-08,3.6838470863037e-08,7.7890863641611e-12,2.5171432202674e-08,-3.6838470863037e-05,2.5171433407807e-05,-30771230.527679,77.890863641611,251714.32202674,3.8176488572746,3.4335052651283,2.0176488572746,0.57781776501332,0.46067257097758,0,0,0,30.127353085659,1.967469535269,0,0.00010896931916205,1.8772222309435e-09,0,0.00011263333385661,0,-3.6838470863037e-05,3.6838470863037e-08,0.0041766659494274,0.0084318588774714,8.4318588774714e-16,2359760.6797561,1.2600232595291,1.006492494382e-07,0.1006492494382,1.8772222309435e-09,8.2285017247424e-10,3000000,2359760.6797561,38772466.041632,3.4876987147356e-05,33.593165250462,3.6838470863037e-08,3.6838470863037e-08,0,0,0,0,3000000,1.8161553193675e-09,7.9462197211016e-10,-0.015347485448729,2.5171433407807e-05,1,0.23951631864291,251714.33407807,32.141100886268,32017648.857275,33.577817765013,31.556976286297,31.55973395512,0,0,-31556976.286297,-31559733.95512,-32141100.886268,-32017648.857275,0.0019610285944388,6.1566714735623e-07,65877.157633865,-65877.157633865
3.5,1.012441139559e-07,-4.545261e-05,2.296,30393465.982189,12.1,30393465.982189,38385703.798942,1.2629590920482,4.4228756451287e-05,44.228756451287,5721087942370.3,51.628125693132,7.3802739038951e-07,-5.1877147266274e-06,4.7428838148236e-07,1.2123157718719e-06,-3.3761597148409e-07,-5.5253306981115e-06,-0.0030871240478055,0.0042339973579695,0,0,0,1.012441139559e-07,1.012441139559e-07,2.6525763104989e-11,2.1437231416323e-07,-0.0001012441139559,0.00021437231580434,-30393465.982189,265.25763104989,2143723.1416323,7.8258887806264,8.2817551286577,6.0258887806264,5.1270787517127,5.2862091022789,0,0,0,31.13002634911,2.0280018435738,0,0.00013840726274268,2.2439528944408e-09,0,0.00013463717366645,0,-0.0001012441139559,1.012441139559e-07,0.0041766659494274,0.0086055047171516,8.6055047171516e-16,3759777.2467188,1.2629590920482,1.0157585670003e-07,0.10157585670003,-2.2439528944408e-09,-8.6748254850256e-10,3000000,3759777.2467188,38385703.798942,3.9602264931365e-05,38.144505559242,1.012441139559e-07,1.012441139559e-07,0,0,0,0,3000000,-2.3067877123779e-09,-8.953840745712e-10,-0.01742680752885,0.00021437231580434,1,2.1252704613092,2143723.1580434,35.838907357626,36025888.780626,38.127078751713,30.739679678347,30.733738988654,0,0,-30739679.678347,-30733738.988654,-35838907.357626,-36025888.780626,0.0019610285944388,-5.8503450686349e-06,74802.46615855,-74802.46615855
5.3,1.823884285767e-07,-5.8882158e-05,2.296,29943129.351023,12.1,29943129.351023,37923514.216865,1.2665184107302,4.4147612137705e-05,44.147612137705,5386787811787.4,51.706574170811,1.1309416474092e-06,-1.1991143835457e-05,8.0559915507524e-07,1.9365408024845e-06,-7.6815297356889e-07,-1.2759296809026e-05,-0.0066280632412664,0.010056606642513,0,0,0,1.823884285767e-07,1.823884285767e-07,3.3361779028039e-11,4.4135792795317e-07,-0.0001823884285767,0.00044135792921407,-29943129.351023,333.6177902804,4413579.2795317,12.71900751113,14.187104942064,10.91900751113,10.580831812701,11.14821158697,0,0,0,32.332052875111,2.0093563301387,0,0.00035448697630103,5.8533503929897e-09,0,0.00035120102357938,0,-0.0001823884285767,1.823884285767e-07,0.0041766659494274,0.0088268086113083,8.8268086113083e-16,5446829.0515575,1.2665184107302,1.0264562407693e-07,0.10264562407693,-5.8533503929897e-09,-2.4633662423737e-09,3000000,5446829.0515575,37923514.216865,4.5267030801103e-05,43.600751397314,1.823884285767e-07,1.823884285767e-07,0,0,0,0,3000000,-5.9081162716838e-09,-2.4918565366381e-09,-0.0199195846129,0.00044135792921407,1,4.3859535608076,4413579.2921407,40.284960046556,40919007.51113,43.580831812701,29.77079592416,29.758887794346,0,0,-29770795.92416,-29758887.794346,-40284960.046556,-40919007.51113,0.0019610285944388,-1.3615127198897e-05,85502.320229153,-85502.320229153
7.46,2.8512273615168e-07,-7.49976156e-05,2.296,29409865.733354,12.1,29409865.733354,37374592.779626,1.2708202438372,4.4044877831451e-05,44.044877831451,5011526875255.9,51.80102283686,1.548994102849e-06,-2.0139746586154e-05,1.2038236377393e-06,2.7528177405882e-06,-1.2879277939547e-06,-2.1427674380109e-05,-0.010822718918377,0.017055132086823,0,0,0,2.8512273615168e-07,2.8512273615168e-07,2.8589413473318e-11,7.1370163634201e-07,-0.00028512273615168,0.00071370163691462,-29409865.733354,285.89413473319,7137016.3634201,18.661719222871,21.344270664772,16.861719222871,17.1196506975,18.23968472396,0,0,0,33.77323175878,2.004256176735,0,0.00057888857168732,9.6072526960435e-09,0,0.00057643516176261,0,-0.00028512273615168,2.8512273615168e-07,0.0041766659494274,0.0091110647821008,9.1110647821008e-16,7470919.0698336,1.2708202438372,1.0393225111556e-07,0.10393225111556,-9.6072526960435e-09,-4.1705998962521e-09,3000000,7470919.0698336,37374592.779626,5.205884508159e-05,50.142558994136,2.8512273615168e-07,2.8512273615168e-07,0,0,0,0,3000000,-9.6481428614554e-09,-4.2013036682186e-09,-0.022908296636686,0.00071370163691462,1,7.0964168286227,7137016.3691462,45.629902966973,46861719.222871,50.1196506975,28.622034498912,28.605190471111,0,0,-28622034.498912,-28605190.471111,-45629902.966973,-46861719.222871,0.0019610285944388,-2.293877051841e-05,98330.991985838,-98330.991985838
10.052,4.1657330340511e-07,-9.433616472e-05,2.296,28780513.72752,12.1,28780513.72752,36724434.480015,1.2760247104852,4.3913427265897e-05,43.913427265897,4596368489376.7,51.914754287677,1.9811535211497e-06,-2.9900051941335e-05,1.6824684185956e-06,3.6636219397452e-06,-1.915476770496e-06,-3.1815528711831e-05,-0.015786478844861,0.025470083648266,0,0,0,4.1657330340511e-07,4.1657330340511e-07,1.5894034522258e-11,1.0404606349349e-06,-0.00041657330340511,0.0010404606350563,-28780513.72752,158.94034522258,10404606.349349,25.860119140839,29.996870342716,24.060119140839,24.959747104948,26.799587658359,0,0,0,35.501216825718,2.0034424210967,0,0.00082303756374997,1.3670234027155e-08,0,0.00082021404162928,0,-0.00041657330340511,4.1657330340511e-07,0.0041766659494274,0.0094814628442811,9.4814628442811e-16,9894585.3364617,1.2760247104852,1.0553993840939e-07,0.10553993840939,-1.3670234027155e-08,-6.0583439123652e-09,3000000,9894585.3364617,36724434.480015,6.020228500226e-05,57.986238891327,4.1657330340511e-07,4.1657330340511e-07,0,0,0,0,3000000,-1.3717292729166e-08,-6.0870009912777e-09,-0.026491786379182,0.0010404606350563,1,10.346284075737,10404606.350563,52.056126012077,54060119.140839,57.959747104948,27.260531482479,27.239144461403,0,0,-27260531.482479,-27239144.461403,-52056126.012077,-54060119.140839,0.0019610285944388,-3.413387971774e-05,113712.67254985,-113712.67254985
13.1624,5.8714502118758e-07,-0.000117542423664,2.296,28039865.178991,12.1,28039865.178991,35955964.405701,1.282336879548,4.3742855550335e-05,43.742855550335,4144557274460.6,52.05190497008,2.4103053898647e-06,-4.1591707943101e-05,2.2584860100951e-06,4.6687913999598e-06,-2.6731604998006e-06,-4.4264868442902e-05,-0.021654297469018,0.035591728573082,0,0,0,5.8714502118758e-07,5.8714502118758e-07,-5.7077819780591e-13,1.4324853467659e-06,-0.00058714502118758,0.001432485346766,-28039865.178991,-5.7077819780567,14324853.467659,34.565188352208,40.441088535229,32.765188352208,34.360274968254,37.117119218371,0,0,0,37.573126522351,2.0034986917004,0,0.0010953607785473,1.8192363504584e-08,0,0.001091541810275,0,-0.00058714502118758,5.8714502118758e-07,0.0041766659494274,0.0099733978006174,9.9733978006174e-16,12793166.971703,1.282336879548,1.0764962725469e-07,0.10764962725469,-1.8192363504584e-08,-8.1447587450055e-09,3000000,12793166.971703,35955964.405701,6.9966531498605e-05,67.391063474141,5.8714502118758e-07,5.8714502118758e-07,0,0,0,0,3000000,-1.8256012975788e-08,-8.1775979201488e-09,-0.030788505887458,0.001432485346766,1,14.242979476002,14324853.46766,59.784427209598,62765188.352208,67.360274968254,25.648069133837,25.622850747654,0,0,-25648069.133837,-25622850.747654,-59784427.209598,-62765188.352208,0.0019610285944388,-4.7575892165395e-05,132155.80248243,-132155.80248243
