time,aperture,aperture_init_error,mass_imbalance,p_q1,p_q2,p_q3,perm_rel_error,permeability,profile_max_error,q_in,q_out,transmissivity,transmissivity_rel_error
0,1e-06,0,0,0,0,0,1.5146129380243e-16,8.3333333333333e-14,0,0,0,8.3333333333333e-17,1.4791141972894e-16
4.8828125e-06,1e-06,0,0.99999999999659,1000056.2177406,1000000.0031587,999999.99999843,1.5146129380243e-16,8.3333333333333e-14,0.74994378225944,5.6919355575689e-07,-1.9387061294796e-18,8.3333333333333e-17,1.4791141972894e-16
9.765625e-06,1e-06,0,1.0000000000016,1000451.6435245,1000000.0476186,1000000.0000022,1.5146129380243e-16,8.3333333333333e-14,0.74954835647547,1.5420409872287e-08,2.5154339174116e-20,8.3333333333333e-17,1.4791141972894e-16
1.46484375e-05,1e-06,0,1.0000000000017,1001787.9459534,1000000.3542279,1000000.0000412,1.5146129380243e-16,8.3333333333333e-14,0.74821205404655,8.7253192341695e-09,1.5262282680063e-20,8.3333333333333e-17,1.4791141972894e-16
1.953125e-05,1e-06,0,1.0000000000044,1004755.0165076,1000001.7446488,1000000.0003094,1.5146129380243e-16,8.3333333333333e-14,0.74524498349245,5.5710283788911e-09,2.4614246840772e-20,8.3333333333333e-17,1.4791141972894e-16
2.44140625e-05,1e-06,0,1.0000000000289,1009772.6951062,1000006.4410305,1000000.0016808,1.5146129380243e-16,8.3333333333333e-14,0.74022730489384,3.8879106579589e-09,1.1239435867919e-19,8.3333333333333e-17,1.4791141972894e-16
2.9296875e-05,1e-06,0,1.0000000001924,1016864.3086381,1000019.1364257,1000000.0072648,1.5146129380243e-16,8.3333333333333e-14,0.73313569136192,2.8923844019841e-09,5.5656769715974e-19,8.3333333333333e-17,1.4791141972894e-16
3.41796875e-05,1e-06,0,1.0000000010531,1025772.110597,1000047.9601723,1000000.0261885,1.5146129380243e-16,8.3333333333333e-14,0.72422788940301,2.2539006068299e-09,2.3736568110163e-18,8.3333333333333e-17,1.4791141972894e-16
3.90625e-05,1e-06,0,1.000000004788,1036120.256708,1000104.8971139,1000000.0812662,1.5146129380243e-16,8.3333333333333e-14,0.71387974329203,1.8179943863942e-09,8.7045144346502e-18,8.3333333333333e-17,1.4791141972894e-16
4.39453125e-05,1e-06,0,1.0000000185739,1047524.1729335,1000205.429935,1000000.2222702,1.5146129380243e-16,8.3333333333333e-14,0.70247582706646,1.5056167842144e-09,2.796517649115e-17,8.3333333333333e-17,1.4791141972894e-16
4.8828125e-05,1e-06,0,1.0000000628992,1059643.3909575,1000367.4949044,1000000.5458515,1.5146129380243e-16,8.3333333333333e-14,0.69035660904251,1.2730615901349e-09,8.0074572812133e-17,8.3333333333333e-17,1.4791141972894e-16
5.37109375e-05,1e-06,0,1.0000001893872,1072198.7249607,1000610.0605502,1000001.2218074,1.5146129380243e-16,8.3333333333333e-14,0.67780127503929,1.0945579628208e-09,2.072952717934e-16,8.3333333333333e-17,1.4791141972894e-16
5.859375e-05,1e-06,0,1.000000514648,1084971.5836588,1000951.6771277,1000002.5237395,1.5146129380243e-16,8.3333333333333e-14,0.66502841634124,9.5408026131698e-10,4.910154644153e-16,8.3333333333333e-17,1.4791141972894e-16
6.34765625e-05,1e-06,0,1.0000012779306,1097796.0746073,1001409.2545019,1000004.8607557,1.5146129380243e-16,8.3333333333333e-14,0.65220392539273,8.4121303239142e-10,1.0750118723299e-15,8.3333333333333e-17,1.4791141972894e-16
6.8359375e-05,1e-06,0,1.00000293007,1110549.2914647,1001997.1961001,1000008.8062134,1.5146129380243e-16,8.3333333333333e-14,0.63945070853532,7.4893201617345e-10,2.1944232068135e-15,8.3333333333333e-17,1.4791141972894e-16
7.32421875e-05,1e-06,0,1.000006258837,1123142.1484826,1002726.9072933,1000015.1197271,1.5146129380243e-16,8.3333333333333e-14,0.62685785151745,6.7234937130981e-10,4.2081251264138e-15,8.3333333333333e-17,1.4791141972894e-16
7.8125e-05,1e-06,0,1.0000125513401,1135511.5949516,1003606.6291102,1000024.7596366,1.5146129380243e-16,8.3333333333333e-14,0.61448840504841,6.0797156032294e-10,7.630857837126e-15,8.3333333333333e-17,1.4791141972894e-16
8.30078125e-05,1e-06,0,1.0000237883007,1147614.3422602,1004641.5191471,1000038.8845011,1.5146129380243e-16,8.3333333333333e-14,0.60238565773981,5.5324313161018e-10,1.3160713990562e-14,8.3333333333333e-17,1.4791141972894e-16
8.7890625e-05,1e-06,0,1.0000428590338,1159421.9557024,1005833.8985522,1000058.843603,1.5146129380243e-16,8.3333333333333e-14,0.59057804429762,5.0625669032439e-10,2.1697672613658e-14,8.3333333333333e-17,1.4791141972894e-16
9.27734375e-05,1e-06,0,1.000073781091,1170917.0789334,1007183.5948389,1000086.1576298,1.5146129380243e-16,8.3333333333333e-14,0.57908292106661,4.6556303559491e-10,3.4349748690621e-14,8.3333333333333e-17,1.4791141972894e-16
9.765625e-05,1e-06,0,1.0001219057711,1182090.5588027,1008688.3262828,1000122.4915104,1.5146129380243e-16,8.3333333333333e-14,0.56790944119727,4.3004362161485e-10,5.2424799303297e-14,8.3333333333333e-17,1.4791141972894e-16
0.0001025390625,1e-06,0,1.0001940905447,1192939.2689533,1010344.0896779,1000169.621787,1.5146129380243e-16,8.3333333333333e-14,0.55706073104667,3.988229025166e-10,7.740775437342e-14,8.3333333333333e-17,1.4791141972894e-16
0.000107421875,1e-06,0,1.0002988217703,1203464.4683362,1012145.5268681,1000229.4009553,1.5146129380243e-16,8.3333333333333e-14,0.54653553166379,3.71206846937e-10,1.1092468713111e-13,8.3333333333333e-17,1.4791141972894e-16
0.0001123046875,1e-06,0,1.0004462753528,1213670.5660595,1014086.2559959,1000303.7210052,1.5146129380243e-16,8.3333333333333e-14,0.53632943394046,3.4663901234425e-10,1.5469644753965e-13,8.3333333333333e-17,1.4791141972894e-16
0.0001171875,1e-06,0,1.0006483083939,1223564.193637,1016159.1609559,1000394.4780304,1.5146129380243e-16,8.3333333333333e-14,0.52643580636299,3.2466864152023e-10,2.1048540554124e-13,8.3333333333333e-17,1.4791141972894e-16
0.0001220703125,1e-06,0,1.0009183805705,1233153.5093565,1018356.6376004,1000503.5393453,1.5146129380243e-16,8.3333333333333e-14,0.51684649064352,3.0492714115692e-10,2.8003916185783e-13,8.3333333333333e-17,1.4791141972894e-16
0.000126953125,1e-06,0,1.0012714092213,1242447.677837,1020670.7984038,1000632.7141099,1.5146129380243e-16,8.3333333333333e-14,0.50755232216296,2.8711050213451e-10,3.6503493995086e-13,8.3333333333333e-17,1.4791141972894e-16
0.0001318359375,1e-06,0,1.0017235664013,1251456.4818423,1023093.6390779,1000783.7280668,1.5146129380243e-16,8.3333333333333e-14,0.4985435181577,2.7096599563694e-10,4.6702788596358e-13,8.3333333333333e-17,1.4791141972894e-16
0.00013671875,1e-06,0,1.0022920292094,1260190.0340042,1025617.1714811,1000958.2026592,1.5146129380243e-16,8.3333333333333e-14,0.48980996599581,2.5628198915519e-10,5.8740580498258e-13,8.3333333333333e-17,1.4791141972894e-16
0.0001416015625,1e-06,0,1.0029946964321,1268658.5640773,1028233.5274024,1001157.6385314,1.5146129380243e-16,8.3333333333333e-14,0.48134143592266,2.4288006806243e-10,7.2735207325633e-13,8.3333333333333e-17,1.4791141972894e-16
0.000146484375,1e-06,0,1.003849885073,1276872.2633268,1030935.0376698,1001383.4032199,1.5146129380243e-16,8.3333333333333e-14,0.47312773667323,2.3060888109253e-10,8.8781768901355e-13,8.3333333333333e-17,1.4791141972894e-16
0.0001513671875,1e-06,0,1.0048760198567,1284841.1721428,1033714.2906889,1001636.722709,1.5146129380243e-16,8.3333333333333e-14,0.46628570931106,2.1933928886794e-10,1.0695027278747e-12,8.3333333333333e-17,1.4791141972894e-16
0.00015625,1e-06,0,1.0060913275594,1292575.1003516,1036564.174078,1001918.6764442,1.5146129380243e-16,8.3333333333333e-14,0.46343582592197,2.0896050733892e-10,1.2728468971806e-12,8.3333333333333e-17,1.4791141972894e-16
0.0001611328125,1e-06,0,1.0075135462722,1300083.5722315,1039477.9025884,1002230.1953569,1.5146129380243e-16,8.3333333333333e-14,0.46052209741162,1.9937701801588e-10,1.4980284504666e-12,8.3333333333333e-17,1.4791141972894e-16
0.000166015625,1e-06,0,1.0091596577005,1307375.7901596,1042449.0350388,1002572.062446,1.5146129380243e-16,8.3333333333333e-14,0.45755096496119,1.9050607437285e-10,1.7449704311145e-12,8.3333333333333e-17,1.4791141972894e-16
0.0001708984375,1e-06,0,1.0110456485224,1314460.6122636,1045471.482561,1002944.9154759,1.5146129380243e-16,8.3333333333333e-14,0.45452851743897,1.8227567557004e-10,2.0133530465372e-12,8.3333333333333e-17,1.4791141972894e-16
0.00017578125,1e-06,0,1.01318630483,1321346.5405519,1048539.5100683,1003349.2513795,1.5146129380243e-16,8.3333333333333e-14,0.4514604899317,1.7462290931062e-10,2.3026309124714e-12,8.3333333333333e-17,1.4791141972894e-16
0.0001806640625,1e-06,0,1.0155950418583,1328041.7168296,1051647.7325227,1003785.4319926,1.5146129380243e-16,8.3333333333333e-14,0.44835226747729,1.6749258838129e-10,2.6120539267647e-12,8.3333333333333e-17,1.4791141972894e-16
0.000185546875,1e-06,0,1.0182837696373,1334553.9243449,1054791.1072875,1004253.6907897,1.5146129380243e-16,8.3333333333333e-14,0.44520889271247,1.6083612243442e-10,2.9406906119517e-12,8.3333333333333e-17,1.4791141972894e-16
0.0001904296875,1e-06,0,1.0212627939012,1340890.5935943,1057964.9236058,1004754.1403303,1.5146129380243e-16,8.3333333333333e-14,0.44203507639422,1.5461057940618e-10,3.2874528848615e-12,8.3333333333333e-17,1.4791141972894e-16
0.0001953125,1e-06,0,1.0245407505728,1347058.8110904,1061164.7900413,1005286.7801746,1.5146129380243e-16,8.3333333333333e-14,0.43883520995874,1.4877790072851e-10,3.6511213525305e-12,8.3333333333333e-17,1.4791141972894e-16
0.0002001953125,1e-06,0,1.0281245713861,1353065.3301777,1064386.6205482,1005851.5050589,1.5146129380243e-16,8.3333333333333e-14,0.43561337945181,1.4330424198144e-10,4.0303703835395e-12,8.3333333333333e-17,1.4791141972894e-16
0.000205078125,1e-06,0,1.0320194776938,1358916.5832032,1067626.6196948,1006448.1131639,1.5146129380243e-16,8.3333333333333e-14,0.43237338030524,1.3815941641101e-10,4.4237923519556e-12,8.3333333333333e-17,1.4791141972894e-16
0.0002099609375,1e-06,0,1.0362289992016,1364618.6945162,1070881.2674519,1007076.3143386,1.5146129380243e-16,8.3333333333333e-14,0.4291187325481,1.3331642323427e-10,4.8299205909207e-12,8.3333333333333e-17,1.4791141972894e-16
0.00021484375,1e-06,0,1.0407550142312,1370177.4939017,1074147.3038645,1007735.7381703,1.5146129380243e-16,8.3333333333333e-14,0.42585269613555,1.2875104617057e-10,5.2472507189665e-12,8.3333333333333e-17,1.4791141972894e-16
0.0002197265625,1e-06,0,1.0455978081169,1375598.5301524,1077421.7138469,1008425.9418182,1.5146129380243e-16,8.3333333333333e-14,0.42257828615307,1.2444151040734e-10,5.6742601133337e-12,8.3333333333333e-17,1.4791141972894e-16
0.000224609375,1e-06,0,1.0507561464512,1380887.0845601,1080701.712285,1009146.4175467,1.5146129380243e-16,8.3333333333333e-14,0.419298287715,1.2036818840398e-10,6.1094253987e-12,8.3333333333333e-17,1.4791141972894e-16
0.0002294921875,1e-06,0,1.0562273600772,1386048.1841671,1083984.7295754,1009896.5999136,1.5146129380243e-16,8.3333333333333e-14,0.41601527042456,1.1651334668416e-10,6.5512378978052e-12,8.3333333333333e-17,1.4791141972894e-16
0.000234375,1e-06,0,1.0620074389644,1391086.6146651,1087268.3976984,1010675.8725826,1.5146129380243e-16,8.3333333333333e-14,0.41273160230163,1.1286092716677e-10,6.9982170527645e-12,8.3333333333333e-17,1.4791141972894e-16
0.0002392578125,1e-06,0,1.0680911323809,1396006.9328617,1090550.5368854,1011483.5747396,1.5146129380243e-16,8.3333333333333e-14,0.4094494631146,1.0939635771204e-10,7.4489218749622e-12,8.3333333333333e-17,1.4791141972894e-16
0.000244140625,1e-06,0,1.0744720530533,1400813.4786632,1093829.142923,1012319.0071066,1.5146129380243e-16,8.3333333333333e-14,0.40617085707697,1.0610638747031e-10,7.901960516984e-12,8.3333333333333e-17,1.4791141972894e-16
0.0002490234375,1e-06,0,1.0811427833076,1405510.3865419,1097102.3751122,1013181.4375486,1.5146129380243e-16,8.3333333333333e-14,0.40289762488781,1.0297894336141e-10,8.3559980864217e-12,8.3333333333333e-17,1.4791141972894e-16
0.00025390625,1e-06,0,1.0880949814593,1410101.5964725,1100368.5448904,1014070.1062798,1.5146129380243e-16,8.3333333333333e-14,0.39963145510957,1.0000300461632e-10,8.8097628375476e-12,8.3333333333333e-17,1.4791141972894e-16
