time,closure,closure_rel_error,cum_slip,envelope_rel_error,fracture_state,limit_tau,limit_tau_reference,mu_eff,mu_reference,normal_jump,phi_peak,phi_peak_reference,sigma_n,sigma_n_reference,strength_rel_error,tau,tau_1,tau_2,weakening_rel_error,yield_rel_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,4.4338894863884e-05,1.1329424890007e-11,0,1.9287206518655e-16,0,23263303.442189,23263303.442189,0.74918788000091,0.74918788000091,-8.8948638835213e-09,36.840106164304,36.840106164304,31051361.164787,31051361.164435,0,2.6977852191598e-12,-2.0402007781171e-12,1.7651135582981e-12,0,0
0.05,4.4356883557517e-05,1.145041372304e-11,0,0,0,23334607.490753,23334607.490753,0.74875784235818,0.74875784235818,-2.688355751744e-08,36.824321431452,36.824321431452,31164424.825604,31164424.825247,0,1.9079605471555e-11,1.7724803498186e-11,-7.0613515633262e-12,0,0
0.095,4.438386627997e-05,1.1640373015472e-11,0,0,0,23443485.998857,23443485.998857,0.7481040353087,0.7481040353087,-5.3866279970114e-08,36.800310655532,36.800310655532,31337200.298863,31337200.298498,0,7.813756394138e-12,3.6624631470056e-12,-6.9022570716946e-12,0,0
0.1625,4.4424339616871e-05,1.1934925374769e-11,0,1.932738833771e-16,0,23611314.040472,23611314.040472,0.74710290100958,0.74710290100958,-9.4339616870907e-08,36.763515242965,36.763515242965,31603831.290931,31603831.290554,0,2.506753972177e-11,2.1200672020491e-11,-1.3375838425389e-11,1.4860376303249e-16,0
0.26375,4.4485047827561e-05,1.2410179344233e-11,0,1.9357427289162e-16,0,23873879.245592,23873879.245592,0.7455525803269,0.7455525803269,-1.5504782756099e-07,36.706465438096,36.706465438096,32021724.390149,32021724.389752,1.5604042644849e-16,9.8236400908659e-11,-3.0979802044829e-11,9.3223614651814e-11,0,0
0.415625,4.4576105668032e-05,1.3201389062823e-11,0,0,0,24294655.63345,24294655.63345,0.74310764011558,0.74310764011558,-2.461056680322e-07,36.616322379972,36.616322379972,32693319.677983,32693319.677551,0,1.0689567952787e-10,8.1068321401728e-11,6.9675056991949e-11,0,0
0.615625,4.4696007668458e-05,1.4427966282872e-11,0,0,0,24906079.215745,24906079.215745,0.73963846155553,0.73963846155553,-3.6600766845761e-07,36.488053805797,36.488053805797,33673315.424085,33673315.4236,0,1.8085658220607e-10,1.8389974938154e-11,1.7991918227091e-10,0,0
0.815625,4.4815896371221e-05,1.5925468208242e-11,0,1.9548959341204e-16,0,25596870.75147,25596870.75147,0.73583220220282,0.73583220220282,-4.8589637122096e-07,36.34683173454,36.34683173454,34786287.79067,34786287.790116,0,1.2028027577855e-10,2.2086315322919e-11,-1.1823510230393e-10,0,0
1.015625,4.4926403896021e-05,1.7626039105887e-11,0,0,0,26321999.062251,26321999.062251,0.73195878685242,0.73195878685242,-5.9640389602055e-07,36.202590184118,36.202590184118,35961039.794934,35961039.7943,0,4452412.6139818,4452412.6139818,-1.4473561258595e-10,0,0
1.215625,4.4926403896021e-05,1.7626039105887e-11,3.6037189743945e-06,3.9253696055804e-16,1,25501947.919321,25501947.919321,0.70915490944493,0.70915490944493,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,25501947.919321,25501947.919321,1.5861639159389e-11,0,0
1.415625,4.4926403896021e-05,1.7626039105887e-11,9.4391988541853e-06,3.9253696055804e-16,1,24293229.514107,24293229.514107,0.67554302246649,0.67554302246649,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,24293229.514107,24293229.514107,-4.4322946277563e-11,0,0
1.615625,4.4926403896021e-05,1.7626039105887e-11,1.5261091653816e-05,3.9253696055804e-16,1,23220020.551065,23220020.551065,0.64569936474242,0.64569936474242,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,23220020.551065,23220020.551065,1.5667697721891e-10,0,0
1.815625,4.4926403896021e-05,1.7626039105887e-11,2.1070970476689e-05,3.9253696055804e-16,1,22266631.834961,22266631.834961,0.61918765313617,0.61918765313617,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.6730371823065e-16,22266631.834961,22266631.834961,-2.5876941898066e-10,0,0
2.015625,4.4926403896021e-05,1.7626039105887e-11,2.6870215761744e-05,3.9253696055804e-16,1,21419295.690203,21419295.690203,0.59562503788394,0.59562503788394,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,21419295.690203,21419295.690203,2.236491405339e-11,0,0
2.215625,4.4926403896021e-05,1.7626039105887e-11,3.2660041098459e-05,3.9253696055804e-16,1,20665908.498315,20665908.498315,0.5746749431096,0.5746749431096,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,20665908.498315,20665908.498315,4.1224122661416e-11,0,0
2.415625,4.4926403896021e-05,1.7624795997128e-11,3.8441515121929e-05,3.9253696055804e-16,1,19995812.329494,19995812.329494,0.55604099446289,0.55604099446289,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,19995812.329494,19995812.329494,5.3085612908682e-11,1.9966567855264e-16,0
2.615625,4.4926403896021e-05,1.7626039105887e-11,4.4215580176496e-05,3.9253696055804e-16,1,19399608.802677,19399608.802677,0.53946184296402,0.53946184296402,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,19399608.802677,19399608.802677,-3.6342650590821e-11,0,0
2.815625,4.4926403896021e-05,1.7624795997128e-11,4.9983068297148e-05,3.9253696055804e-16,1,18868999.696558,18868999.696558,0.52470673273515,0.52470673273515,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.974291355329e-16,18868999.696558,18868999.696558,5.4680099620574e-12,2.1158924697571e-16,0
3.015625,4.4926403896021e-05,1.7624795997128e-11,5.5744714950452e-05,3.9253696055804e-16,1,18396649.905747,18396649.905747,0.51157169010277,0.51157169010277,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,18396649.905747,18396649.905747,-1.3390163539376e-10,2.170219826672e-16,0
