time,admissible_work,closure_headroom,cum_slip,dilation_inc,dilation_work,fracture_state,limit_tau,limiter_violation,mu_eff,mu_reference,normal_jump,normal_plastic_jump,pressure,roughness,slip_inc,strength_rel_error,tau,tau_1,tau_2,yield_rel_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0.95563030541375,0,0,0,0,14637031.336035,0,0.47222222222222,0.47222222222222,5.0088566577638e-07,0,30996066.358662,0.45,0,1.1755302613678e-16,3777593.5291127,3777593.5291127,3.9052565348314e-09,0
0.2,0,0.93242504652184,0,0,0,0,14637030.795123,0,0.47222222222222,0.47222222222222,1.565173748068e-06,0,30996065.213201,0.45,0,1.1755302613678e-16,6130842.9643611,6130842.9643611,7.7613918844983e-10,0
0.3,0,0.90521596545076,0,0,0,0,14637030.795442,0,0.47222222222222,0.47222222222222,2.8130934911294e-06,0,30996065.213878,0.45,0,1.1755302613678e-16,7622216.4513382,7622216.4513382,-9.3055616683404e-10,0
0.4,1.3699301898605,0.87842794058507,1.0402502583847e-07,3.7810741978704e-08,1.1719842241316,1,14632485.242197,0,0.47193933735831,0.47193933735831,4.0795126164702e-06,3.7810741978704e-08,30996065.213206,0.44963629088925,1.0402502583847e-07,1.1762348852287e-16,8618398.0927907,8618398.0927907,9.5821345989147e-10,0
0.5,1.8420386048215,0.85164917797215,2.4394933120241e-07,5.0766812967282e-08,1.5735715230165,1,14627262.61595,0,0.47155975532942,0.47155975532942,5.3584630080054e-06,8.8577554945986e-08,30996066.74208,0.44914825685211,1.3992430536394e-07,1.1771816955092e-16,9381836.3001,9381836.3001,5.5942456725341e-09,0
0.6,1.5510616997584,0.82405602429891,3.6179962123627e-07,4.2692575573684e-08,1.323301868835,1,14623654.198266,0,0.47124087803475,0.47124087803475,6.6666904670325e-06,1.3127013051967e-07,30996065.499751,0.44873827175896,1.1785029003385e-07,1.1779782658661e-16,10025707.689133,10025707.689133,-5.9357048331845e-09,0
0.7,1.3508893262306,0.79591403521342,4.6445866394439e-07,3.7139857724577e-08,1.1511894546202,1,14621100.106339,0,0.4709637168129,0.4709637168129,7.994537044953e-06,1.6840998824425e-07,30996065.282674,0.44838192161658,1.0265904270812e-07,0,10587229.92759,10587229.92759,1.2371274450594e-08,0
0.8,1.2113443538007,0.76739352896699,5.5652466248958e-07,3.3267781224968e-08,1.0311703170308,1,14619275.217321,0,0.47071563848277,0.47071563848277,9.3358718915094e-06,2.0167776946922e-07,30996065.233737,0.44806296376357,9.2065998545199e-08,1.1792926916595e-16,11091322.779674,11091322.779674,1.04253645674e-09,0
0.9,1.1148707510041,0.73861153322303,6.4126584627373e-07,3.0587382259898e-08,0.94808849544452,1,14617984.120317,0,0.47048770075462,0.47048770075462,1.068651931695e-05,2.3226515172911e-07,30996065.22025,0.44776990097023,8.4741183784141e-08,1.1798640249729e-16,11555737.274109,11555737.274109,-5.3472476048649e-09,0
1,1.0513982833773,0.70965493042804,7.2118728947028e-07,2.8817865221432e-08,0.89324042978592,1,14617107.35116,0,0.47027308090807,0.47027308090807,1.2043405418855e-05,2.6108301695055e-07,30996065.215879,0.44749396116752,7.9921443196555e-08,1.1804024828312e-16,11994112.760252,11994112.760252,2.2397416281563e-09,0
1.1,1.0157747303662,0.6805946869349,7.9840364497621e-07,2.7814678315626e-08,0.86214558298471,1,14616574.194688,0,0.47006605084318,0.47006605084318,1.3404041720162e-05,2.8889769526617e-07,30996065.214256,0.44722777965552,7.7216355505927e-08,0,12417996.005045,12417996.005045,5.9540321400556e-09,0
1.2,1.0067928128302,0.65149641922739,8.7493839487641e-07,2.7541895318677e-08,0.85369038340321,1,14616349.859131,0,0.46986116353697,0.46986116353697,1.4766149184462e-05,3.1643959058485e-07,30996065.213576,0.44696435311896,7.6534749900201e-08,0,12838472.115112,12838472.115112,-1.3118065374657e-08,0
1.3,1.027617441936,0.62243117503361,9.5305575612049e-07,2.8083070612549e-08,0.8704646880954,1,14616432.756083,0,0.46965236266594,0.46965236266594,1.612728323065e-05,3.445226611974e-07,30996065.213268,0.44669589485621,7.8117361244078e-08,1.1819625672945e-16,13267986.080932,13267986.080932,3.2527697181099e-09,0
1.4,1.0884724365148,0.59349183837721,1.0357967489205e-06,2.971351764944e-08,0.92100213077647,1,14616863.750638,0,0.46943155869705,0.46943155869705,1.7484273089249e-05,3.7423617884684e-07,30996065.213229,0.44641200403907,8.2740992799977e-08,0,13723299.801687,13723299.801687,9.0222039778845e-09,0
1.5,1.2155115977506,0.56482916867646,1.1281890362183e-06,3.3139941935059e-08,1.0272078014194,1,14617761.735803,0,0.46918543054859,0.46918543054859,1.883200029398e-05,4.073761207819e-07,30996065.214367,0.44609555356248,9.2392287297803e-08,1.1831388533602e-16,14232181.890291,14232181.890291,1.5482086947803e-08,0
1.6,17.78245564516,0.5513222345384,2.4899967106678e-06,4.8761180841181e-07,15.114047321131,2,14508865.253798,0,0.46554609129005,0.46554609129005,1.9939095345323e-05,8.9498792919371e-07,30996065.026313,0.44141640308721,1.3618076744496e-06,0,14508865.253798,14508865.253798,9.5044427912857e-09,3.8513938546848e-16
1.7,48.970028916633,0.56695246921456,6.3240923124024e-06,1.3402112786715e-06,41.541276037399,2,14191389.285152,0,0.455556005767,0.455556005767,2.0562440134086e-05,2.2351992078652e-06,30996065.096973,0.42857200741472,3.8340956017346e-06,0,14191389.285152,14191389.285152,1.8597394059268e-08,3.1500427959027e-15
