time,closure,dn,pressure,pressure_reference,pressure_rel_error,sigma_n
0,0,0,0,0,0,0
0.1,4.4446824398714e-05,-1.1682439871435e-07,31756012.856573,31756012.856573,0,-31756012.856573
0.2,4.4566737845239e-05,-2.3673784523914e-07,32621547.608629,32621547.608629,0,-32621547.608629
0.3,4.4686640764699e-05,-3.5664076469891e-07,33592353.011056,33592353.011056,0,-33592353.011056
0.4,4.4806530620517e-05,-4.7653062051667e-07,34693794.833584,34693794.833584,0,-34693794.833584
0.5,4.4926403896021e-05,-5.9640389602063e-07,35961039.794301,35961039.794301,0,-35961039.794301
0.6,4.5046255535402e-05,-7.1625553540189e-07,37444645.982472,37444645.982472,0,-37444645.982472
0.7,4.5166077931344e-05,-8.3607793134382e-07,39220686.565523,39220686.565523,5.6989674959998e-16,-39220686.565523
0.8,4.5285858943043e-05,-9.5585894304277e-07,41410569.583784,41410569.583784,0,-41410569.583784
0.9,4.54055775956e-05,-1.0755775956004e-06,44224044.040788,44224044.040788,0,-44224044.040788
1,4.5525193313956e-05,-1.1951933139557e-06,48066860.442507,48066860.442507,0,-48066860.442507
1.1,4.4806530620517e-05,-4.7653062051664e-07,34693794.833584,34693794.833584,0,-34693794.833584
1.2,4.4087037627515e-05,2.4296237248466e-07,29623724.918461,29623724.918461,0,-29623724.918461
1.3,4.3367336810463e-05,9.6266318953677e-07,26631895.372093,26631895.372093,0,-26631895.372093
1.4,4.2647544266771e-05,1.6824557332294e-06,24557332.294885,24557332.294885,0,-24557332.294885
1.5,4.1927701057684e-05,2.4022989423161e-06,22989423.160814,22989423.160814,0,-22989423.160814
1.6,4.1207826130297e-05,3.1221738697034e-06,21738697.034047,21738697.034047,0,-21738697.034047
1.7,4.0487929676527e-05,3.8420703234728e-06,20703234.727723,20703234.727723,0,-20703234.727723
1.8,3.9768017763024e-05,4.5619822369764e-06,19822369.764327,19822369.764327,0,-19822369.764327
1.9,3.904809427175e-05,5.2819057282501e-06,19057282.500887,19057282.500887,0,-19057282.500887
2,3.8328161825661e-05,6.0018381743389e-06,18381743.388973,18381743.388973,0,-18381743.388973
