time,p_z0,p_z025,p_z050,p_z075,p_z100,uz_top
0,0,0,0,0,0,0
0.025,999.99996666667,999.99996666667,999.99996666667,999.99992941378,-4.246602966565e-12,-0.00015000029279999
0.05,999.99996666667,999.99996666667,999.99996666665,999.99950333385,-2.9195395521205e-12,-0.00022500028889999
0.075,999.99996666667,999.99996666667,999.9999666664,999.99707738483,-2.3389493030343e-12,-0.00028125028604999
0.1,999.99996666667,999.99996666667,999.99996666451,999.9878514278,-2.0019996040156e-12,-0.00032812528368749
0.125,999.99996666667,999.99996666667,999.99996665345,999.96130730915,-1.7768264875446e-12,-0.00036914090662499
0.15,999.99996666667,999.99996666667,999.99996660171,999.89925269488,-1.6131912397328e-12,-0.00040605496727109
0.175,999.99996666667,999.99996666667,999.99996639915,999.77564376137,-1.487514722113e-12,-0.00043989285619804
0.2,999.99996666667,999.99996666667,999.99996571586,999.5585388212,-1.3871409925074e-12,-0.00047131375305966
0.225,999.99996666667,999.99996666667,999.99996368496,999.21350834277,-1.3046094641169e-12,-0.00050077084386804
0.25,999.99996666667,999.99996666666,999.99995827275,998.70735160317,-1.2352069893963e-12,-0.00052859142963194
0.275,999.99996666667,999.99996666663,999.99994515827,998.01115582415,-1.1757933908832e-12,-0.00055502098610797
0.3,999.99996666667,999.99996666655,999.99991592682,997.1022321494,-1.1241863891095e-12,-0.00058024919910807
0.325,999.99996666667,999.99996666632,999.99985540551,995.96491521392,-1.0788165705274e-12,-0.0006044262365667
0.35,999.99996666667,999.99996666568,999.99973804002,994.59046748869,-1.0385228083637e-12,-0.0006276733879694
0.375,999.99996666667,999.99996666401,999.99952332399,992.97640237062,-1.0024252950073e-12,-0.00065009028396498
0.4,999.99996666667,999.99996665998,999.99915042497,991.1255063966,-9.6984366714995e-13,-0.00067175995009416
0.425,999.99996666667,999.99996665072,999.99853227827,989.04476738916,-9.4024246111362e-13,-0.0006927524391569
0.45,999.99996666667,999.99996663058,999.99754951658,986.7443406188,-9.1319374177438e-13,-0.0007131275020708
0.475,999.99996666667,999.99996658873,999.99604465209,984.23662533917,-8.8835086514377e-13,-0.00073293659101495
0.5,999.99996666667,999.99996650554,999.99381692415,981.53548243622,-8.6542965840298e-13,-0.00075222438814484
0.525,999.99996666666,999.99996634676,999.99061817369,978.65559788682,-8.4419466171112e-13,-0.00077102999034653
0.55,999.99996666666,999.99996605483,999.98615001909,975.61198214994,-8.2444889868577e-13,-0.0007893878401149
0.575,999.99996666665,999.99996553642,999.98006250244,972.41958870179,-8.0602615413092e-13,-0.00080732846602493
0.6,999.99996666662,999.9999646451,999.97195426579,969.09303273154,-7.887850640501e-13,-0.00082487907832826
0.625,999.99996666657,999.99996315787,999.96137421671,965.64639148604,-7.726045360702e-13,-0.0008420640528753
0.65,999.99996666647,999.99996074461,999.94782455972,962.09306956219,-7.573801603769e-13,-0.00085890532793143
0.675,999.99996666627,999.99995692912,999.93076500897,958.44571478593,-7.430213676381e-13,-0.00087542273231344
0.7,999.99996666589,999.99995104093,999.90961795923,954.71617272777,-7.2944915693503e-13,-0.00089163425883654
0.725,999.99996666519,999.99994215703,999.88377437443,950.91547014578,-7.1659426338743e-13,-0.0009075562938146
0.75,999.99996666392,999.99992903299,999.85260015297,947.05381961486,-7.0439566835681e-13,-0.00092320381094824
0.775,999.99996666167,999.99991002339,999.81544274205,943.14063926317,-6.9279937904261e-13,-0.00093859053612967
0.8,999.99996665781,999.99988299167,999.77163779625,939.18458290736,-6.8175742174742e-13,-0.00095372908832431
0.825,999.99996665131,999.99984521001,999.72051570399,935.19357698537,-6.7122700597413e-13,-0.00096863110064093
0.85,999.99996664059,999.99979325009,999.66140783647,931.17486156818,-6.611698261287e-13,-0.00098330732489217
0.875,999.99996662327,999.99972286612,999.59365240529,927.13503342681,-6.5155147484061e-13,-0.00099776772231619
0.9,999.99996659583,999.99962887163,999.51659984465,923.08008967205,-6.423409474153e-13,-0.0010120215426342
0.925,999.9999665531,999.99950501184,999.42961766122,919.01547090334,-6.3351022115137e-13,-0.0010260773932255
0.95,999.9999664877,999.99934383369,999.33209471877,914.94610312309,-6.2503389651539e-13,-0.00103994329989
0.975,999.99996638925,999.99913655551,999.22344494455,910.87643791642,-6.1688888970667e-13,-0.0010536267604141
1,999.9999662433,999.99887293862,999.10311046131,906.81049057897,-6.09054168136e-13,-0.0010671347919572
1.025,999.99996603011,999.99854116287,998.97056416178,902.75187601167,-6.0151052191509e-13,-0.001080473973106
1.05,999.999965723,999.99812770832,998.82531175224,898.70384230134,-5.942403657039e-13,-0.0010936504813139
1.075,999.99996528649,999.99761724472,998.66689329947,894.66930197834,-5.8722756626251e-13,-0.0011066701263289
1.1,999.99996467387,999.99699253082,998.49488431946,890.65086099342,-5.8045729185813e-13,-0.0011195383801229
1.125,999.99996382443,999.99623432473,998.30889644972,886.65084549139,-5.7391588032797e-13,-0.00113226040376
1.15,999.99996266012,999.99532130681,998.1085777478,882.67132648198,-5.6759072312707e-13,-0.001144841071579
1.175,999.9999610817,999.99423001599,997.89361265874,878.71414252274,-5.6147016312198e-13,-0.0011572849930087
1.2,999.99995896421,999.99293480028,997.66372169289,874.78092053598,-5.5554340424515e-13,-0.0011695965322955
1.225,999.99995615185,999.99140778206,997.41866085409,870.87309488487,-5.4980043141735e-13,-0.0011817798263814
1.25,999.99995245216,999.98961883825,997.15822085546,866.99192483263,-5.4423193938679e-13,-0.0011938388011399
1.275,999.99994762945,999.98753559549,996.88222615772,863.13851050587,-5.3882926933512e-13,-0.0012057771861508
1.3,999.99994139752,999.98512344013,996.59053386201,859.31380747842,-5.3358435226789e-13,-0.0012175985281714
1.325,999.99993341154,999.9823455425,996.28303248617,855.51864008576,-5.2848965834796e-13,-0.0012293062034418
1.35,999.99992325929,999.97916289509,995.95964065077,851.75371357425,-5.2353815144829e-13,-0.0012409034289456
1.375,999.99991045145,999.9755343638,995.62030569802,848.01962518234,-5.1872324830051e-13,-0.0012523932727317
1.4,999.99989441125,999.97141675147,995.26500226432,844.31687424416,-5.1403878169986e-13,-0.0012637786633924
1.425,999.99987446334,999.96676487275,994.89373082436,840.64587139943,-5.0947896729912e-13,-0.0012750623987795
1.45,999.99984982189,999.96153163932,994.50651622248,837.00694698697,-5.0503837358494e-13,-0.0012862471540315
1.475,999.99981957804,999.95566815448,994.10340620468,833.40035869298,-5.0071189468234e-13,-0.0012973354889797
1.5,999.99978268674,999.94912381593,993.68446996281,829.82629851963,-4.9649472567785e-13,-0.0013083298549876
