specimen,stage,sigma_n_MPa,slip_um,R,a_h0,a_sigma,chi_am,lam_dil,a_gouge,recon,a_h,clamp,a_h_paper,k_1e13
SW-T1,1,65607500.2852,0.0000,1.0000,1.6300,0.0000,0.0000,0.0000,0.0000,1.6300,1.6300,-0.0000,1.6300,2.2141
SW-T1,2,63372761.9577,0.0000,1.0000,1.6300,0.0000,0.0000,0.0000,0.0000,1.6300,1.6300,-0.0000,1.5900,2.2141
SW-T1,3,61050142.5703,0.0000,1.0000,1.6300,0.0000,0.0000,0.0000,0.0000,1.6300,1.6300,-0.0000,1.6200,2.2141
SW-T1,4,58664649.5699,0.0049,1.0000,1.6300,0.0000,0.0000,0.0000,0.0000,1.6300,1.6300,-0.0000,1.6600,2.2141
SW-T1,5,56293330.3565,0.9141,0.9944,1.6300,0.0000,0.0000,0.0000,0.0000,1.6300,1.6300,-0.0000,1.7200,2.2141
SW-T1,6,32150667.4516,533.6904,0.1256,1.6300,0.0000,2.3902,0.0000,0.0000,4.0202,4.0307,0.0106,4.0500,13.4689
SW-T1,7,36389401.1902,533.6909,0.1256,1.6300,0.0000,2.1258,0.0000,0.0000,3.7558,3.8124,0.0566,3.8100,11.7617
SW-T1,8,40300050.4085,533.6909,0.1256,1.6300,0.0000,1.9579,0.0000,0.0000,3.5879,3.6661,0.0782,3.6100,10.7543
SW-T1,9,43633822.6023,533.6909,0.1256,1.6300,0.0000,1.8492,0.0000,0.0000,3.4792,3.5652,0.0860,3.4900,10.1384
SW-T1,10,46354842.4712,533.6909,0.1256,1.6300,0.0000,1.7761,0.0000,0.0000,3.4061,3.4929,0.0868,3.4000,9.7424
SW-T1,11,48548312.8029,533.6909,0.1256,1.6300,0.0000,1.7248,0.0000,0.0000,3.3548,3.4389,0.0842,3.3600,9.4745
SW-T2,1,66362595.4340,0.0000,1.0000,2.1100,0.0001,0.0000,0.0000,0.0000,2.1101,2.1101,0.0000,2.1100,3.7104
SW-T2,2,64311179.2238,0.0000,1.0000,2.1100,0.0005,0.0000,0.0000,0.0000,2.1105,2.1105,-0.0000,2.1300,3.7118
SW-T2,3,62252421.3456,0.0000,1.0000,2.1100,0.0010,0.0000,0.0000,0.0000,2.1110,2.1110,-0.0000,2.1600,3.7136
SW-T2,4,60147362.1744,0.0824,1.0000,2.1100,0.0016,0.0000,0.0000,0.0000,2.1116,2.1116,-0.0000,2.3100,3.7159
SW-T2,5,58240209.3686,2.9545,0.9817,2.1100,0.0023,0.0006,0.0000,0.0000,2.1129,2.1151,0.0022,2.6900,3.7203
SW-T2,6,31283874.4068,566.0741,0.1205,2.1100,0.0886,2.5058,0.0000,0.0000,4.7044,4.7778,0.0734,4.9200,18.4502
SW-T2,7,34765568.1567,566.0741,0.1205,2.1100,0.0519,2.4237,0.0000,0.0000,4.5856,4.6433,0.0577,4.5400,17.5232
SW-T2,8,38019313.6054,566.0741,0.1205,2.1100,0.0316,2.3761,0.0000,0.0000,4.5177,4.5536,0.0359,4.3900,17.0116
SW-T2,9,41062354.7443,566.0741,0.1205,2.1100,0.0203,2.3477,0.0000,0.0000,4.4780,4.4916,0.0135,4.3000,16.7190
SW-T2,10,43907577.3281,566.0741,0.1205,2.1100,0.0139,2.3303,0.0000,0.0000,4.4541,4.4469,-0.0072,4.2400,16.5449
