sample,side,branch,k0_darcy,alpha_per_MPa,r2,n
SW-T1,model,pre,0.22434198618406398,6.285475346807183e-17,,5.0
SW-T1,model,post,3.2482683668643113,0.030275022060868337,0.9376044611273311,5.0
SW-T1,table2_refit,pre,0.622673652724878,0.016364748779999664,0.6996755943646913,5.0
SW-T1,table2_refit,post,3.5174057678976105,0.03227963402916035,0.9518264297516705,5.0
SW-T1,kalantar_fig8,pre,0.37,0.01,0.39,
SW-T1,kalantar_fig8,post,3.47,0.03,0.95,
SW-T2,model,pre,0.38404633491655904,0.0003248410176070033,0.9510746957479038,5.0
SW-T2,model,post,2.2949141493064324,0.008304118140101329,0.916378973483355,5.0
SW-T2,table2_refit,pre,10.278270506592856,0.0507510066644271,0.7891014267898389,5.0
SW-T2,table2_refit,post,3.085091787324454,0.01885505681852347,0.9278437237074881,5.0
SW-T2,kalantar_fig8,pre,0.83,0.01,1.0,
SW-T2,kalantar_fig8,post,3.04,0.02,0.93,
SW-S3,model,pre,0.27374144763244107,0.02563911257309166,0.8982979194094564,5.0
SW-S3,model,post,0.745615365565019,0.05214394963381761,0.938672045036807,5.0
SW-S3,table2_refit,pre,0.16212217264911266,0.00881692010708196,0.497733397308486,5.0
SW-S3,table2_refit,post,0.4116838803446978,0.024778212973289814,0.8702128468056898,5.0
SW-S3,kalantar_fig8,pre,0.16,0.01,0.5,
SW-S3,kalantar_fig8,post,0.41,0.02,0.87,
SW-S4,model,pre,0.13489647673642993,0.035348108335088835,0.9777164951634923,5.0
SW-S4,model,post,0.21805625267323886,0.061118445346845705,0.9849114357250578,5.0
SW-S4,table2_refit,pre,0.1285754640491502,0.033720325323053434,0.9866519999359057,5.0
SW-S4,table2_refit,post,0.19913103292426598,0.05998849522645692,0.9505543941503214,5.0
SW-S4,kalantar_fig8,pre,0.12,0.03,0.97,
SW-S4,kalantar_fig8,post,0.2,0.06,0.95,
