time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,inj_saveiin_sum_legacy_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,prod_saveiin_sum_legacy_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,9.7982063223047e-07,-7.5187969924812e-05,16.44200364,26574246.865116,15.32,26574246.865116,50202201.421368,0.8776245869075,4.3350179944468e-05,43.350179944468,3352004202558.6,41.270982804595,-2.4637654047784e-09,7.1257994120352e-08,3.5223098797085e-07,3.4976722256607e-07,-1.1723587569403e-07,-4.5977881573682e-08,3.985037537589e-05,5.9124609499147e-05,26880000,0,0,9.7982063223047e-07,9.7982063223047e-07,8.802144080922e-12,4.6444201019438e-08,-0.00097982063223047,4.6444201853533e-05,-26574246.865116,88.02144080922,464442.01019438,3.0841040619365,2.3098770205408,0.084104061936532,0.91995934503548,1.2381120156255,0,0,0,25.258337855976,1.9968142839188,0,0.043495299255801,7.2723842942284e-07,0,0.04363430576537,0,-0.00097982063223047,9.7982063223047e-07,0.0037702730355659,2.2568777073276,2.2568777073276e-13,3709621.5976739,0.8776245869075,1.6463609450689e-06,1.6463609450689,7.2723842942284e-07,9.1404023000818e-09,5000000,3709621.5976739,50202201.421368,7.5208433278944e-05,31.008437040909,9.7982063223047e-07,9.7982063223047e-07,0,0,0,0,5000000,7.2492165426335e-07,9.0831864621578e-09,-0.088477695873287,4.6444201853533e-05,1,0.41342699107758,464442.01853533,29.060052747141,30084104.061937,30.919959345035,28.845992046311,27.948044296149,0,0,-28845992.046311,-27948044.296149,-29060052.747141,-30084104.061937,0.0019988288209677,2.0463354132375e-08,61980.55765053,-61980.55765053
1.5,9.7982063223047e-07,-7.5187969924812e-05,16.44200364,26574246.865116,15.32,26574246.865116,50202201.421368,0.8776245869075,4.3350179944468e-05,43.350179944468,3352004202558.6,41.270982804595,-2.4637654047784e-09,7.1257994120352e-08,3.5223098797085e-07,3.4976722256607e-07,-1.1723587569403e-07,-4.5977881573682e-08,3.985037537589e-05,5.9124609499147e-05,26880000,0,0,9.7982063223047e-07,9.7982063223047e-07,8.802144080922e-12,4.6444201019438e-08,-0.00097982063223047,4.6444201853533e-05,-26574246.865116,88.02144080922,464442.01019438,3.0841040619365,2.3098770205408,0.084104061936532,0.91995934503548,1.2381120156255,0,0,0,25.258337855976,1.996825472569,0,0.043409987349511,7.2580387346433e-07,0,0.04354823240786,0,-0.00097982063223047,9.7982063223047e-07,0.0037702730355659,2.2568777073276,2.2568777073276e-13,3709621.5976739,0.8776245869075,1.6463609450689e-06,1.6463609450689,7.2580387346433e-07,9.1404023000818e-09,5000000,3709621.5976739,50202201.421368,7.5208433278944e-05,31.008437040909,9.7982063223047e-07,9.7982063223047e-07,0,0,0,0,5000000,7.2349978915851e-07,9.0831864621578e-09,-0.088477695873287,4.6444201853533e-05,1,0.41342699107758,464442.01853533,29.060052747141,30084104.061937,30.919959345035,28.845992046311,27.948044296149,0,0,-28845992.046311,-27948044.296149,-29060052.747141,-30084104.061937,0.0019988288209677,2.0463354132375e-08,61980.55765053,-61980.55765053
2.25,1.0783598783807e-06,-7.8282431805812e-05,16.44200364,26251702.795981,15.32,26251702.795981,49985113.015477,0.88013789133352,4.3251640699632e-05,43.251640699632,3195801178983.5,41.352228788699,3.1600592826023e-08,-8.7853421524109e-07,4.5031365449504e-07,4.8191424732107e-07,-2.7667215252818e-07,-1.1552063677693e-06,-0.00049235102752778,0.00072829350574378,26880000,0,0,1.0783598783807e-06,1.0783598783807e-06,-4.0372059904992e-11,8.0967395857792e-08,-0.0010783598783807,8.0967405922974e-05,-26251702.795981,-403.72059904992,809673.95857793,3.6879693993485,3.2424887749486,0.68796939934848,1.6801264998137,2.1258877179187,0,0,0,25.47180375967,1.9973087709509,0,0.02450728176031,4.0955690745177e-07,0,0.024573414447106,0,-0.0010783598783807,1.0783598783807e-06,0.0037702730355659,2.2612041336191,2.2612041336191e-13,4257532.2926668,0.88013789133352,1.6477701834244e-06,1.6477701834244,4.0955690745177e-07,5.1630051101308e-09,5000000,4257532.2926668,49985113.015477,7.7057432499901e-05,31.770779419709,1.0783598783807e-06,1.0783598783807e-06,0,0,0,0,5000000,4.0845469600517e-07,5.1342984391487e-09,-0.090652919895518,8.0967405922974e-05,1,0.75504384753101,809674.05922974,29.433660682816,30687969.399348,31.680126499814,28.56208168143,27.56725272641,0,0,-28562081.68143,-27567252.72641,-29433660.682816,-30687969.399348,0.0019988288209677,-1.2249993059112e-06,63504.349568722,-63504.349568722
3,1.0158915325898e-06,-8.7565817448813e-05,16.44200364,26454320.091344,15.32,26454320.091344,50121562.707243,0.87855460434754,4.3314109044589e-05,43.314109044589,3293185103982.1,41.301071344575,1.4724732808354e-07,-4.0224519281448e-06,7.0788986115225e-07,8.5513718923579e-07,-7.2169317645137e-07,-4.7441451045962e-06,-0.0022564475824213,0.0033332035037856,26880000,0,0,1.0158915325898e-06,1.0158915325898e-06,-5.5286760139934e-11,1.7958935630905e-07,-0.0010158915325898,0.00017958936481909,-26454320.091344,-552.86760139934,1795893.5630905,5.4208011634557,5.2222822829122,2.4208011634557,3.8603640320887,4.33439517087,0,0,0,26.084045912159,1.9943187198632,0,0.010753637198659,1.8025134503048e-07,0,0.010815080701829,0,-0.0010158915325898,1.0158915325898e-06,0.0037702730355659,2.258460924624,2.258460924624e-13,4669135.1990942,0.87855460434754,1.646557687129e-06,1.646557687129,1.8025134503048e-07,2.2213676596583e-09,5000000,4669135.1990942,50121562.707243,8.236055231156e-05,33.957255718056,1.0158915325898e-06,1.0158915325898e-06,0,0,0,0,5000000,1.7922728664432e-07,2.1939920621624e-09,-0.096891685967613,0.00017958936481909,1,1.7348361042944,1795893.6481909,31.270069874676,32420801.163456,33.860364032089,28.086405992586,27.245287939113,0,0,-28086405.992586,-27245287.939113,-31270069.874676,-32420801.163456,0.0019988288209677,-5.2052651372531e-06,67874.741410221,-67874.741410221
3.75,9.1341588649493e-07,-9.6849203091814e-05,16.44200364,26800457.314178,15.32,26800457.314178,50354075.227889,0.87588342039613,4.3416584689322e-05,43.416584689322,3465184134019.2,41.214580112383,2.5686118114786e-07,-7.204867614071e-06,9.6454562531884e-07,1.2214068064667e-06,-1.1629291979157e-06,-8.3677968119867e-06,-0.0040358287805951,0.0059739585750481,26880000,0,0,9.1341588649493e-07,9.1341588649493e-07,-5.4065571304783e-11,2.7754652530038e-07,-0.00091341588649493,0.00027754653056632,-26800457.314178,-540.65571304783,2775465.2530038,7.1418578800318,7.0994167579421,4.1418578800318,6.0281766693791,6.4802296659918,0,0,0,26.692798974888,1.975376244927,0,0.0022351986527165,3.8193785292972e-08,0,0.0022916271175783,0,-0.00091341588649493,9.1341588649493e-07,0.0037702730355659,2.2539644695989,2.2539644695989e-13,4929264.7965171,0.87588342039613,1.6447623771865e-06,1.6447623771865,3.8193785292972e-08,4.2856089355485e-10,5000000,4929264.7965171,50354075.227889,8.763345032134e-05,36.131271567489,9.1341588649493e-07,9.1341588649493e-07,0,0,0,0,5000000,3.7253310878608e-08,4.0218678445773e-10,-0.10309489810939,0.00027754653056632,1,2.7090446502388,2775465.3056632,33.203764599039,34141857.880032,36.028176669379,27.66162821404,27.031900453798,0,0,-27661628.21404,-27031900.453798,-33203764.599039,-34141857.880032,0.0019988288209677,-9.2157527704742e-06,72220.226947306,-72220.226947306
4.5,7.9830447236107e-07,-0.00010613258873482,16.44200364,27211414.912052,15.32,27211414.912052,50629181.316713,0.8727654366567,4.3531696101933e-05,43.531696101933,3678855058444.8,41.113331521226,3.5869079607526e-07,-1.040936469955e-05,1.2216917826194e-06,1.5803825786947e-06,-1.6021117703475e-06,-1.2011476469897e-05,-0.005820309929441,0.0086375647529077,26880000,0,0,7.9830447236107e-07,7.9830447236107e-07,-4.7035760551131e-11,3.7509164476685e-07,-0.00079830447236107,0.00037509164771594,-27211414.912052,-470.35760551131,3750916.4476685,8.8568805246365,8.9297505019616,5.8568805246365,8.1889119071142,8.5828787413745,0,0,0,27.299564601719,2.0135972119411,0,0.0040061425817701,6.5873349139975e-08,0,0.0039524009483985,0,-0.00079830447236107,7.9830447236107e-07,0.0037702730355659,2.2489189252466,2.2489189252466e-13,5121449.9622086,0.8727654366567,1.6428043044776e-06,1.6428043044776,-6.5873349139975e-08,-8.653042121075e-10,5000000,5121449.9622086,50629181.316713,9.2889133556472e-05,38.298189765333,7.9830447236107e-07,7.9830447236107e-07,0,0,0,0,5000000,-6.6769043029502e-08,-8.9155532943827e-10,-0.10927785821919,0.00037509164771594,1,3.6800726338913,3750916.4771594,35.186069421078,35856880.524636,38.188911907114,27.274001783262,26.871540285054,0,0,-27274001.783262,-26871540.285054,-35186069.421078,-35856880.524636,0.0019988288209677,-1.3243455178343e-05,76551.525493838,-76551.525493838
5.25,6.8031881457578e-07,-0.00011541597437782,16.44200364,27659654.147365,15.32,27659654.147365,50928090.760393,0.86942853718854,4.3649681758166e-05,43.649681758166,3924020734592.1,41.00462705982,4.5417452903622e-07,-1.3628329682983e-05,1.479189859676e-06,1.9333643887122e-06,-2.0399093497275e-06,-1.5668239032711e-05,-0.007607076283006,0.011316803209186,26880000,0,0,6.8031881457578e-07,6.8031881457578e-07,-3.7193042180555e-11,4.7235391041315e-07,-0.00068031881457578,0.00047235391187744,-27659654.147365,-371.93042180555,4723539.1041315,10.570376285348,10.735296421945,7.5703762853483,10.344878251373,10.654557295261,0,0,0,27.904991054463,2.0058395023498,0,0.0089640305597873,1.4853314965337e-07,0,0.0089119889792022,0,-0.00068031881457578,6.8031881457578e-07,0.0037702730355659,2.2437532658672,2.2437532658672e-13,5274866.8943275,0.86942853718854,1.6408289438676e-06,1.6408289438676,-1.4853314965337e-07,-1.8893601018804e-09,5000000,5274866.8943275,50928090.760393,9.8133217131888e-05,40.460325423478,6.8031881457578e-07,6.8031881457578e-07,0,0,0,0,5000000,-1.4940050932979e-07,-1.9158334253096e-09,-0.1154471721045,0.00047235391187744,1,4.6489574910119,4723539.1187744,37.197316423808,37570376.285348,40.344878251373,26.915818990088,26.742587605178,0,0,-26915818.990088,-26742587.605178,-37197316.423808,-37570376.285348,0.0019988288209677,-1.7282757245928e-05,80873.264562179,-80873.264562179
6,5.6384025202039e-07,-0.00012469936002082,16.44200364,28132287.753695,15.32,28132287.753695,51241987.544146,0.86597971892701,4.3766160319197e-05,43.766160319197,4196726250495.4,40.891898510202,5.4488379733971e-07,-1.6857464236152e-05,1.7366402124726e-06,2.2815240098123e-06,-2.4767349908242e-06,-1.9334199226976e-05,-0.0093951827118196,0.014007196030515,26880000,0,0,5.6384025202039e-07,5.6384025202039e-07,-2.5866943935874e-11,5.6941047685331e-07,-0.00056384025202039,0.00056941047744085,-28132287.753695,-258.66943935874,5694104.7685331,12.285780186005,12.527636563838,9.2857801860054,12.497325637432,12.703648111403,0,0,0,28.509429332977,2.0038804519487,0,0.013095361576525,2.1741236802824e-07,0,0.013044742081694,0,-0.00056384025202039,5.6384025202039e-07,0.0037702730355659,2.2386594168588,2.2386594168588e-13,5403093.9630539,0.86597971892701,1.6388992401956e-06,1.6388992401956,-2.1741236802824e-07,-2.7466230996381e-09,5000000,5403093.9630539,51241987.544146,0.00010336874133858,42.618932053896,5.6384025202039e-07,5.6384025202039e-07,0,0,0,0,5000000,-2.1825602627542e-07,-2.7733604715964e-09,-0.12160641646449,0.00056941047744085,1,5.6162609387929,5694104.7744085,39.227674729597,39285780.186005,42.497325637432,26.582132074603,26.634441617412,0,0,-26582132.074603,-26634441.617412,-39227674.729597,-39285780.186005,0.0019988288209677,-2.1330618682237e-05,85187.949708192,-85187.949708192
6.75,4.510314434816e-07,-0.00013398274566382,16.44200364,28622223.203378,15.32,28622223.203378,51566014.70636,0.8624773527628,4.3878969126267e-05,43.878969126267,4495397845510.6,40.777025185936,6.3206623088998e-07,-2.0094047819936e-05,1.9936581039754e-06,2.6257243348654e-06,-2.9129164513821e-06,-2.3006964271318e-05,-0.011184245599958,0.016705774925753,26880000,0,0,4.510314434816e-07,4.510314434816e-07,-1.3853086052874e-11,6.6631085972104e-07,-0.0004510314434816,0.00066631085986505,-28622223.203378,-138.53086052874,6663108.5972104,14.00566234903,14.3137939978,11.00566234903,14.647017546506,14.736178585216,0,0,0,29.113093833802,2.0029619547202,0,0.016647789163417,2.7664374647293e-07,0,0.016598624788376,0,-0.0004510314434816,4.510314434816e-07,0.0037702730355659,2.2337315718619,2.2337315718619e-13,5513552.7479511,0.8624773527628,1.6370447159542e-06,1.6370447159542,-2.7664374647293e-07,-3.4907906843716e-09,5000000,5513552.7479511,51566014.70636,0.00010859756323675,44.774775322512,4.510314434816e-07,4.510314434816e-07,0,0,0,0,5000000,-2.7746315272362e-07,-3.5176980631019e-09,-0.12775777600639,0.00066631085986505,1,6.5823260834195,6663108.5986505,41.271557683404,41005662.34903,44.647017546506,26.269483763814,26.541130448494,0,0,-26269483.763814,-26541130.448494,-41271557.683404,-41005662.34903,0.0019988288209677,-2.5385182427068e-05,89497.11136699,-89497.11136699
