sample,case,group,design,run_status,run_end_s,expected_end_s,hold,cycle,probe_time_s,sample_time_s,injection_pressure_mpa,hydraulic_aperture_um,flow_ml_min,permeability_1e13_m2,shear_slip_mm,normal_dilation_mm,effective_normal_mpa,dilation_angle_deg,slip_damage_aperture_um,cumulative_plastic_slip_m,strength_margin_mpa,weakening_state_w,hydraulic_aperture_um_ratio_to_cycle1,flow_ml_min_ratio_to_cycle1,permeability_1e13_m2_ratio_to_cycle1,shear_slip_mm_change_from_cycle1,normal_dilation_mm_change_from_cycle1,analysis_status
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,peak,1,1740,1739.84073,28,4.14806549,6.67058615,14.3183294,0.533928131,-0.157186495,32.662854,16.4420036,0,0.000530425987,-2.12173213e-05,0.00284934632,1,1,1,0,0,valid
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,floor,1,3364.34783,3364.10373,8,3.79476494,0.666154918,12.3255422,0.533723908,-0.137248923,41.6356669,16.4420036,0,0.000530428826,8.19264757,0.00284922116,1,1,1,0,0,valid
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,peak,2,4988.69565,4988.64595,28,4.14807528,6.67063336,14.3185257,0.533933958,-0.157188269,32.6626196,16.4420036,0,0.000530431847,4.38820928e-05,0.00284908804,1.00000236,1.00000708,1.00001371,5.82691954e-06,-1.77415976e-06,valid
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,floor,2,6613.04348,6613.14595,8,3.79474472,0.666144275,12.3255498,0.533726996,-0.137248925,41.6354554,16.4420036,0,0.000530431943,8.19272685,0.0028490838,0.999994674,0.999984022,1.00000062,3.08822489e-06,-2.00775999e-09,valid
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,peak,3,8237.3913,8237.40895,28,4.14807893,6.67065099,14.3185486,0.533934734,-0.157188476,32.6625835,16.4420036,0,0.000530432656,4.08066804e-05,0.00284905237,1.00000324,1.00000972,1.00001531,6.60296372e-06,-1.98166145e-06,valid
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,floor,3,9861.73913,9861.90895,8,3.79474777,0.666145877,12.3255685,0.533727799,-0.137249098,41.6354165,16.4420036,0,0.000530432779,8.19272081,0.00284904697,0.999995476,0.999986427,1.00000214,3.89103491e-06,-1.7469429e-07,valid
SWT1,101_01_swt1_cyclic3_eq,A,equal-peak 3-cycle,complete,10375.4,10375.3913,final_ambient,0,10275.3913,10275.1589,5,3.77264587,0,12.2243295,0.533710025,-0.136043238,43.059194,16.4420036,0,0.000530432779,9.04583649,0.00284904697,,,,,,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,peak,1,2380,2379.75,28,4.60843862,9.13506552,17.1545766,0.570094337,-0.141639495,30.189909,13.9653913,0,0.000566313984,2.05405374e-05,0.00162342904,1,1,1,0,0,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,floor,1,4560.86957,4560.75,8,4.26048111,0.941498421,15.2936806,0.569951072,-0.131038182,39.4258386,13.9653913,0,0.000566314459,10.1761516,0.0016234168,1,1,1,0,0,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,peak,2,6741.73913,6741.75,28,4.60843043,9.13501681,17.1545119,0.570094878,-0.141639078,30.1898631,13.9653913,0,0.000566314608,3.21646957e-05,0.00162341296,0.999998223,0.999994668,0.999996225,5.4043542e-07,4.1664285e-07,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,floor,2,8922.6087,8922.75,8,4.26046897,0.941490371,15.2936269,0.569951145,-0.131037756,39.4258025,13.9653913,0,0.000566314614,10.1763802,0.0016234128,0.99999715,0.99999145,0.999996483,7.312574e-08,4.2608648e-07,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,peak,3,11103.4783,11103.75,28,4.60843071,9.13501848,17.1545133,0.570094905,-0.141639088,30.1898616,13.9653913,0,0.000566314646,3.19881032e-05,0.00162341196,0.999998283,0.99999485,0.999996308,5.6755463e-07,4.0698427e-07,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,floor,3,13284.3478,13284,8,4.26046918,0.941490512,15.2936278,0.569951178,-0.131037763,39.4258007,13.9653913,0,0.000566314656,10.1763822,0.0016234117,0.9999972,0.9999916,0.999996543,1.0600466e-07,4.1818577e-07,valid
SWT2,101_02_swt2_cyclic3_eq,A,equal-peak 3-cycle,complete,13881.5,13881.4783,final_ambient,0,13781.4783,13781.25,5,4.24166205,0,15.2423495,0.569940948,-0.130708721,40.8652053,13.9653913,0,0.000566314656,11.3354374,0.0016234117,,,,,,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,peak,1,2669.2,2669.25,28.5700004,2.04908352,0.822160464,3.57119092,0.0741803694,-0.0474198215,16.4880042,26,0.305647078,7.29727625e-05,0.230649252,0.268403115,1,1,1,0,0,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,floor,1,5183.27993,5183.25,8.00000009,1.57424858,0.0474525133,2.05054167,0.0738703532,-0.0361526232,25.1087113,26,0.305647078,7.29727625e-05,6.33185864,0.268403115,1,1,1,0,0,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,peak,2,7697.35986,7697.25,28.5700004,2.06878741,0.846106834,3.64382711,0.0741278319,-0.0479831587,16.1970265,26,0.305647078,7.29727625e-05,0.679265327,0.268403115,1.00961595,1.02912615,1.02033949,-5.25375725e-05,-0.000563337224,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,floor,2,10211.4398,10211.25,8.00000009,1.57425028,0.047452667,2.05054645,0.073870188,-0.0361369463,25.1078206,26,0.305647078,7.29727625e-05,6.33320295,0.268403115,1.00000108,1.00000324,1.00000233,-1.65140713e-07,1.56768965e-05,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,peak,3,12725.5197,12725.25,28.5700004,2.06889156,0.846234618,3.64421475,0.0741279233,-0.0479860864,16.1975264,26,0.305647078,7.29727625e-05,0.677922432,0.268403115,1.00966678,1.02928157,1.02044803,-5.24461464e-05,-0.000566264908,valid
