sample,input_deck,result_file_count,result_files,analysis_status,analysis_artifact
SWT1,Examples/YeGhasemmi2018/SWT1/100_01_swt1_vm55um_ppfix.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/100_01_swt1_vm55um_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/100_02_swt1_vm50um_apscale0p0155_ppfix.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/100_02_swt1_vm50um_apscale0p0155_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/101_01_swt1_cyclic3_eq.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/101_01_swt1_cyclic3_eq_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT1,Examples/YeGhasemmi2018/SWT1/101_05_swt1_cyclic3_esc.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/101_05_swt1_cyclic3_esc_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT1,Examples/YeGhasemmi2018/SWT1/101_09_swt1_shutin_nohold.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/101_09_swt1_shutin_nohold_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT1,Examples/YeGhasemmi2018/SWT1/101_13_swt1_shutin_slowtau.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/101_13_swt1_shutin_slowtau_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT1,Examples/YeGhasemmi2018/SWT1/101_15_swt1_cyclic2_frame2x.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/101_15_swt1_cyclic2_frame2x_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT1,Examples/YeGhasemmi2018/SWT1/101_16_swt1_cyclic2_frame0p5x.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/101_16_swt1_cyclic2_frame0p5x_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT1,Examples/YeGhasemmi2018/SWT1/102_01_swt1_mc_vm55um_ppfix.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/102_01_swt1_mc_vm55um_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/103_01_swt1_weakexp1p0_ppfix.i,2,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/103_01_swt1_weakexp1p0_ppfix_hpc.csv;Examples/YeGhasemmi2018/SWT1/results_csv_local/103_01_swt1_weakexp1p0_ppfix_local.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/105_01_swt1_vm70um_ppfix.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/105_02_swt1_vm90um_ppfix.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/105_03_swt1_vm110um_ppfix.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/87_01_swt1_bbfast_injfix_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv/87_01_swt1_bbfast_injfix_kernel_SV_biot0p6.csv,retired_invalid_do_not_score,MEMORY.md
