sample,rank_within_sample,case,series,model_family,rank_within_sample_model_family,mesh,selection_status,run_status,comparable_for_ranking,stages_reached,total_stages,run_end_s,q_nrmse_pct,sigma_n_nrmse_pct,tau_nrmse_pct,dn_nrmse_pct,ds_nrmse_pct,mean_nrmse_pct,accuracy_pct_100_minus_mean_nrmse,source_csv,notes
SWS3,1,84_01_sw3_bbfast_postevent_retreat4p5um_m0_kernel_SV,84,BBFast,1,mesh5,historical_unphysical,complete,true,11,11,4802.000000,3.546141,1.236586,3.099935,2.360230,1.160332,2.280645,97.719355,Examples/YeGhasemmi2018/SWS3/results_csv/84_01_sw3_bbfast_postevent_retreat4p5um_m0_kernel_SV_biot_ab_20260815.csv,historical alpha approximately zero arm; numerically scoreable but alpha < porosity is not a selectable physical calibration
SWS3,2,92_03_sw3_final_paperjrc_resc1p40,92,BBFast,2,mesh5,historical_calibration,complete,true,11,11,4802.000000,2.996624,3.333483,8.009500,2.459650,1.111882,3.582228,96.417772,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/92_03_sw3_final_paperjrc_resc1p40_hpc.csv,historical output-only d_n settings improve numeric score; prefer 93_05 for defensible reporting
SWS3,3,92_04_sw3_final_paperjrc_resc1p20,92,BBFast,3,mesh5,historical_calibration,complete,true,11,11,4802.000000,3.262471,2.703156,6.560325,2.718026,3.262301,3.701256,96.298744,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/92_04_sw3_final_paperjrc_resc1p20_hpc.csv,historical output-only d_n settings improve numeric score; prefer 93_05 for defensible reporting
SWS3,4,100_06_sw3_resc1p30_unld0p00_ppfix,100,BBFast,4,mesh5,targeted_calibration_probe,complete,true,11,11,4802.000000,3.060460,3.069703,7.391637,6.173958,2.073149,4.353781,95.646219,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/100_06_sw3_resc1p30_unld0p00_ppfix_hpc.csv,combines residual cohesion 1.30 MPa with zero unload retention; nominal SWS3 minimum but only 0.097 points below 99_06
SWS3,5,100_05_sw3_resc1p25_ppfix,100,BBFast,5,mesh5,targeted_calibration_probe,complete,true,11,11,4802.000000,3.168550,2.851208,6.898029,6.604122,2.656679,4.435718,95.564282,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/100_05_sw3_resc1p25_ppfix_hpc.csv,residual cohesion 1.30->1.25 MPa; 0.015-point gain over 99_06 is below the reproducibility floor
SWS3,6,99_06_sw3_resc1p30_ppfix,99,BBFast,6,mesh5,targeted_calibration_probe,complete,true,11,11,4802.000000,3.092301,3.006069,7.253266,6.833630,2.069985,4.451050,95.548950,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/99_06_sw3_resc1p30_ppfix_hpc.csv,residual cohesion 1.40->1.30 MPa; stress and normal-displacement gains lower the mean by 0.123 points but shear-slip nRMSE increases
SWS3,7,99_05_sw3_unld0p03_ppfix,99,BBFast,7,mesh5,targeted_calibration_probe,complete,true,11,11,4802.000000,2.982305,3.369024,8.088238,7.045070,1.111929,4.519313,95.480687,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/99_05_sw3_unld0p03_ppfix_hpc.csv,normal unloading retention 0.06->0.03; 0.055-point gain is below the reproducibility floor
SWS3,8,93_05_sw3_final_resc1p40_ppfix,93,BBFast,8,mesh5,authoritative_validation,complete,true,11,11,4802.000000,2.996624,3.333483,8.009500,7.420122,1.111882,4.574322,95.425678,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/93_05_sw3_final_resc1p40_ppfix_hpc.csv,
SWS3,9,91_05_sw3_bbfast_paperjrc_resc1p65_kernel_SV_biot0p6,91,BBFast,9,mesh5,historical_calibration,complete,true,11,11,4802.000000,3.098738,4.233500,10.111269,4.651840,3.006183,5.020306,94.979694,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/91_05_sw3_bbfast_paperjrc_resc1p65_kernel_SV_biot0p6_hpc.csv,
SWS3,10,103_03_sw3_weakexp1p0_ppfix,103,BBFast linear-weakening control,1,mesh5,mechanism_control,complete,true,11,11,4802.000000,3.285850,3.898704,9.317254,7.987784,1.847025,5.267323,94.732677,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/103_03_sw3_weakexp1p0_ppfix_hpc.csv,exponent 1.4->1.0 moves 93_05 only 4.574->5.267 against an MC pair at 18.470; the preregistered falsifier fires here
